date,round_num,local_team,away_team,Target,league,prediccion,p_away_win,p_draw,p_home_win,resultado_esperado,confianza
2026-04-27,32,Espanyol,Levante,,la_liga,0,0.24525666854517805,0.4750211174318628,0.2797222140229591,Empate,0.4750211174318628
2026-05-01,34,Girona,Mallorca,,la_liga,1,0.2994481240052415,0.34701483400030014,0.35353704199445835,Gana Girona,0.35353704199445835
2026-05-02,34,Alaves,Athletic Club,,la_liga,1,0.3269676215603341,0.28442811435012366,0.38860426408954235,Gana Alaves,0.38860426408954235
2026-05-02,34,Osasuna,Barcelona,,la_liga,-1,0.3937235897969737,0.21506499701526152,0.3912114131877647,Gana Barcelona,0.3937235897969737
2026-05-02,34,Valencia,Atletico Madrid,,la_liga,-1,0.4001780127724377,0.27956469026241076,0.3202572969651516,Gana Atletico Madrid,0.4001780127724377
2026-05-02,34,Villarreal,Levante,,la_liga,1,0.30740486677689866,0.2007994014824154,0.49179573174068586,Gana Villarreal,0.49179573174068586
2026-05-03,34,Celta Vigo,Elche,,la_liga,1,0.12951597857095068,0.2316233959773033,0.638860625451746,Gana Celta Vigo,0.638860625451746
2026-05-03,34,Espanyol,Real Madrid,,la_liga,-1,0.3553198825527594,0.31871448780376815,0.3259656296434725,Gana Real Madrid,0.3553198825527594
2026-05-03,34,Getafe,Rayo Vallecano,,la_liga,1,0.3417498493952229,0.2372241740942104,0.42102597651056667,Gana Getafe,0.42102597651056667
2026-05-03,34,Real Betis,Oviedo,,la_liga,1,0.14554946765500654,0.26104344468977847,0.5934070876552151,Gana Real Betis,0.5934070876552151
2026-05-04,34,Sevilla,Real Sociedad,,la_liga,-1,0.3849828860340146,0.3587596219419356,0.25625749202404974,Gana Real Sociedad,0.3849828860340146
2026-05-08,35,Levante,Osasuna,,la_liga,-1,0.431456283323779,0.2542663654708019,0.31427735120541905,Gana Osasuna,0.431456283323779
2026-05-09,35,Atletico Madrid,Celta Vigo,,la_liga,1,0.18733569631048227,0.17853093268705053,0.6341333710024672,Gana Atletico Madrid,0.6341333710024672
2026-05-09,35,Elche,Alaves,,la_liga,1,0.3302009926436104,0.3156400187881756,0.3541589885682141,Gana Elche,0.3541589885682141
2026-05-09,35,Real Sociedad,Real Betis,,la_liga,1,0.23793315519601302,0.22654565880089775,0.5355211860030892,Gana Real Sociedad,0.5355211860030892
2026-05-09,35,Sevilla,Espanyol,,la_liga,1,0.2365876400127016,0.3516051679126953,0.4118071920746031,Gana Sevilla,0.4118071920746031
2026-05-10,35,Athletic Club,Valencia,,la_liga,1,0.28394022627742105,0.24350910452827382,0.47255066919430516,Gana Athletic Club,0.47255066919430516
2026-05-10,35,Barcelona,Real Madrid,,la_liga,1,0.2710324147797291,0.1486055973458624,0.5803619878744084,Gana Barcelona,0.5803619878744084
2026-05-10,35,Mallorca,Villarreal,,la_liga,1,0.329949518530384,0.27660108951526186,0.3934493919543542,Gana Mallorca,0.3934493919543542
2026-05-10,35,Oviedo,Getafe,,la_liga,1,0.25784794887510104,0.3409160327432508,0.4012360183816482,Gana Oviedo,0.4012360183816482
2026-05-11,35,Rayo Vallecano,Girona,,la_liga,1,0.22997311156867337,0.3102402343579731,0.4597866540733535,Gana Rayo Vallecano,0.4597866540733535
2026-05-12,36,Celta Vigo,Levante,,la_liga,1,0.1805162265036618,0.2676791161785064,0.5518046573178317,Gana Celta Vigo,0.5518046573178317
2026-05-12,36,Osasuna,Atletico Madrid,,la_liga,1,0.31510994979652757,0.25737589577588854,0.42751415442758384,Gana Osasuna,0.42751415442758384
