feature_set,corr_threshold,k,C,class_weight,folds,accuracy,accuracy_std,balanced_accuracy,balanced_accuracy_std,macro_f1,macro_f1_std,weighted_f1,weighted_f1_std,log_loss,log_loss_std,brier_multiclass,brier_multiclass_std,within_logloss_tolerance
rolling_only,0.95,24,0.03,none,3,0.4794678714859438,0.015515378309316995,0.43462672586830814,0.016341005707417068,0.419753336449982,0.02336184546650126,0.4486849843574275,0.025232100745394885,1.0228087330838755,0.06361591484521979,0.611104275313019,0.036163090057265326,True
rolling_only,0.95,24,0.01,none,3,0.48564257028112445,0.020580737522931228,0.43854148902524365,0.01903384615304403,0.41772755626359515,0.027278106632385377,0.44657655370988075,0.027009863497301476,1.018727497362849,0.05694058593525998,0.6088132626668614,0.03351222202979337,True
rolling_only,0.85,24,0.003,none,3,0.4976907630522088,0.03384085257750652,0.44425801489610445,0.01831368437431988,0.4160833108552906,0.026117126050359166,0.44535846386529704,0.03694987177908908,1.021185542372584,0.04822179868804898,0.6118561829376766,0.03198325833917124,True
rolling_only,0.95,48,0.003,none,3,0.48117469879518077,0.02330496256812977,0.4324166093176036,0.0066578209176541454,0.4087119851825734,0.01633249559600639,0.4385930714297121,0.02848496888269515,1.020071842088775,0.05906476836596509,0.6101824069729475,0.0362198546912757,True
rolling_only,0.9,24,0.003,none,3,0.49196787148594384,0.04237566334111242,0.43894854053563875,0.03642231801031529,0.4037441548896938,0.05737133795149775,0.4355013370967198,0.06172937610745351,1.0180831487180841,0.05060077952785413,0.6090045836371526,0.031961109211550376,True
rolling_only,0.85,36,0.003,none,3,0.4854919678714859,0.02621126188324598,0.4358248808670721,0.01869121850091547,0.40280663680053924,0.02528258595024781,0.43224716729895984,0.03488317784038415,1.0224848748022886,0.05273715037384411,0.612167211156846,0.03383665783759327,True
rolling_only,0.9,48,0.003,none,3,0.48102409638554217,0.03321070550994633,0.43212201908468467,0.016764217810200505,0.40238472764164035,0.031403471319765536,0.43097661589041625,0.042958934008308254,1.0209387499513352,0.060343840520253815,0.6106557987465658,0.037489351355140775,True
rolling_only,0.95,36,0.003,none,3,0.47500000000000003,0.027003086243366083,0.42517023250600944,0.011726423543491838,0.40027193588510096,0.02252257772170557,0.4307927371210012,0.03360429156841145,1.0203811315256361,0.05567395035585959,0.6104227295934276,0.0346971295782306,True
rolling_only,0.95,24,0.003,none,3,0.47329317269076304,0.030713621065043974,0.4235808987990383,0.02765973824592536,0.3966073723509828,0.0405941756063029,0.42479474917858456,0.04317436988648468,1.0163102818439145,0.0468058146837809,0.6082430531344631,0.02953702405373948,True
rolling_only,0.85,24,0.1,balanced,3,0.48765060240963853,0.05103148076274337,0.48115878429363707,0.05645537795382569,0.47360052647588047,0.054207337607684286,0.4856383494482266,0.057496065228468556,1.0627771480640051,0.06885494026503154,0.6380954282167234,0.04184664422559526,False
rolling_only,0.9,36,0.3,none,3,0.514206827309237,0.04728633208082477,0.4815647669669522,0.04619875473016885,0.4722955561056337,0.05269492279114056,0.49316401136582844,0.05653103965841746,1.0810522853718865,0.08356565154948657,0.6446116724745777,0.0466068167787814,False
rolling_only,0.9,24,0.3,balanced,3,0.4932228915662651,0.05750843280101046,0.479496810068607,0.05075242041572422,0.4700414925179608,0.059102761405046444,0.48674634413654233,0.06619788258479793,1.0542791339683537,0.07502644535291639,0.6284351504660175,0.042700462663831845,False
rolling_only,0.9,48,0.01,balanced,3,0.4873493975903614,0.053936832576230484,0.4723499486148195,0.05252246171397682,0.4684496870847726,0.05058533227130693,0.4856406677791096,0.0566759862545603,1.0420201385726953,0.05723279789261945,0.6221463873792844,0.03397790355341525,False
