player_in_id,player_in,team,entradas,pm_after_avg,pm_after_sum
818974.0,César Pinares,Deportes Limache,1,0.0,0
1981780.0,Nicolás L'Huiller,Universidad Católica,1,0.0,0
818865.0,Guillermo Pacheco,Cobresal,2,0.0,0
790149.0,Octavio Rivero,Universidad de Chile,1,0.0,0
2038211.0,Sebastián Melgarejo,Huachipato,1,0.0,0
2038473.0,Joaquín González,Ñublense,1,0.0,0
105971.0,Enzo Roco,Palestino,1,0.0,0
126376.0,Bryan Rabello,O'Higgins,1,0.0,0
129209.0,Cristian Palacios,Everton de Viña del Mar,2,0.0,0
18304.0,Charles Aránguiz,Universidad de Chile,1,0.0,0
22973.0,Cristián Suárez,Deportes Concepción,1,0.0,0
2537211.0,Rodrigo Catalán,Colo-Colo,1,0.0,0
37006.0,Eduardo Vargas,Universidad de Chile,1,0.0,0
2523858.0,Martín Torrejón,Huachipato,1,0.0,0
165511.0,Ángelo Henríquez,Deportes La Serena,2,0.0,0
2059827.0,Amaro Leon,Everton de Viña del Mar,3,0.0,0
872138.0,Andrés Zanini,Deportes La Serena,1,0.0,0
874589.0,Matías Marín,Deportes La Serena,5,0.0,0
883928.0,Nelson Da Silva,Palestino,3,0.0,0
886915.0,Ramiro González,Everton de Viña del Mar,1,0.0,0
1482396.0,Cristian Morales,O'Higgins,2,0.0,0
1482408.0,Felipe Faúndez,O'Higgins,1,0.0,0
1484208.0,Juan Figueroa,Huachipato,1,0.0,0
1485083.0,Benjamin Schamine,O'Higgins,5,0.0,0
975291.0,Leandro Díaz,O'Higgins,2,0.0,0
974008.0,Sebastián Cabrera,Coquimbo Unido,2,0.0,0
983528.0,Francisco González,O'Higgins,1,0.0,0
981341.0,Franco Calderón,Universidad de Chile,1,0.0,0
986609.0,Jorge Espejo,Universidad de Concepción,1,0.0,0
949422.0,Carlos Salomón,Ñublense,3,0.0,0
986462.0,Bryan Ogaz,Universidad de Concepción,5,0.0,0
986513.0,Dylan Escobar,Coquimbo Unido,2,0.0,0
951270.0,Joaquín Moya,Everton de Viña del Mar,1,0.0,0
1798259.0,Gabriel Pinto,O'Higgins,3,0.0,0
1650043.0,Martín Hiriart,Unión La Calera,2,0.0,0
956838.0,Julián Alfaro,Everton de Viña del Mar,2,0.0,0
1644853.0,Flavio Moya,Deportes Limache,5,0.0,0
1508614.0,Santiago Londoño,Everton de Viña del Mar,3,0.0,0
1523685.0,Francisco Jose Pozzo,Unión La Calera,5,0.0,0
1656140.0,Javier Nicolás Cárcamo,Huachipato,2,0.0,0
889498.0,Manuel Fernández,Coquimbo Unido,1,0.0,0
1836929.0,Luca Kmet,Universidad de Concepción,1,0.0,0
862702.0,Nicolás Baeza,Everton de Viña del Mar,3,0.0,0
863129.0,Sebastián Valencia,Ñublense,1,0.0,0
925337.0,Javier Altamirano,Universidad de Chile,2,0.0,0
937101.0,Steffan Pino,Cobresal,1,0.0,0
939938.0,Ariel Cáceres,Deportes Concepción,1,0.0,0
924858.0,Javier Méndez,Colo-Colo,3,0.0,0
