match_id,date,team,player_in_id,player_in,player_out,minute,pm_at_entry,pm_after
15352954,2026-02-02,Unión La Calera,924528.0,Matías Campos López,Francisco Jose Pozzo,72,1,0
15352954,2026-02-02,Unión La Calera,822449.0,Camilo Moya,Sebastián Sáez,85,1,0
15352955,2026-02-08,Universidad Católica,588796.0,Jimmy Martínez,Eugenio Mena,46,0,2
15352955,2026-02-08,Universidad Católica,1981780.0,Nicolás L'Huiller,Justo Giani,82,2,0
15352955,2026-02-08,Universidad Católica,819115.0,Jhojan Valencia,Matías Palavecino,82,2,0
15352955,2026-02-08,Universidad Católica,906110.0,Diego Valencia,Cristián Cuevas,90,2,0
15352955,2026-02-08,Universidad Católica,581774.0,Agustín Farías,Gary Medel,90,2,0
15352955,2026-02-08,Deportes Concepción,1125898.0,Ángel Gillard,Aldrix Jara,57,-1,-1
15352955,2026-02-08,Deportes Concepción,589548.0,Nelson Sepúlveda,Mario Sandoval,57,-1,-1
15352955,2026-02-08,Deportes Concepción,247079.0,Carlos Escobar,Ethan Espinoza,75,-2,0
15352955,2026-02-08,Deportes Concepción,1482455.0,Leenhan Romero,Mauricio Vera,75,-2,0
15352955,2026-02-08,Deportes Concepción,939938.0,Ariel Cáceres,Brayan Véjar,75,-2,0
15352957,2026-02-15,Colo-Colo,1601711.0,Leandro Hernández,Javier Correa,24,0,1
15352957,2026-02-15,Colo-Colo,973993.0,Erick Wiemberg,Diego Ulloa,46,0,1
15352957,2026-02-15,Colo-Colo,889502.0,Álvaro Madrid,Claudio Aquino,64,0,1
15352957,2026-02-15,Colo-Colo,1482420.0,Francisco Marchant,Tomás Alarcón,64,0,1
15352957,2026-02-15,Colo-Colo,1997136.0,Yastin Cuevas,Arturo Vidal,73,0,1
15352957,2026-02-15,Unión La Calera,1017169.0,Javier Saldías,Cristián Gutiérrez,58,0,-1
15352957,2026-02-15,Unión La Calera,822449.0,Camilo Moya,Joaquín Soto,58,0,-1
15352957,2026-02-15,Unión La Calera,924528.0,Matías Campos López,Francisco Jose Pozzo,68,0,-1
15352957,2026-02-15,Unión La Calera,822444.0,Yerko Leiva,Bayron Oyarzo,79,0,-1
15352958,2026-01-31,Cobresal,818865.0,Guillermo Pacheco,Rodrigo Sandoval,73,1,0
15352958,2026-01-31,Cobresal,962847.0,Esteban Valencia,César Yanis,73,1,0
15352958,2026-01-31,Cobresal,1872533.0,Sergio Carrasco,Steffan Pino,80,1,0
15352958,2026-01-31,Cobresal,1835778.0,Benjamín Ramírez,Julián Brea,80,1,0
15352958,2026-01-31,Cobresal,1973053.0,Benjamín Valenzuela,Bryan Carvallo,80,1,0
15352958,2026-01-31,Huachipato,988146.0,Cristian Toro,Maicol León,46,-1,0
15352958,2026-01-31,Huachipato,1017455.0,Ezequiel Cañete,Claudio Sepúlveda,62,-1,0
15352958,2026-01-31,Huachipato,1656140.0,Javier Nicolás Cárcamo,Nicolás Vargas,62,-1,0
15352958,2026-01-31,Huachipato,940483.0,Maximiliano Rodríguez,Lucas Velásquez,67,-1,0
15352958,2026-01-31,Huachipato,1177673.0,Kevin Altez,Santiago Silva,72,-1,0
15352959,2026-02-13,Everton de Viña del Mar,1199239.0,Emiliano Ramos,Nicolás Baeza,60,-2,-1
15352959,2026-02-13,Everton de Viña del Mar,2462954.0,Ricardo Rebolledo,Dieter Villalpando,61,-2,-1
15352959,2026-02-13,Everton de Viña del Mar,1384618.0,Byron Navarro,Vicente Fernández,68,-2,-1
15352959,2026-02-13,Everton de Viña del Mar,1020255.0,Braian Martínez,Julián Alfaro,68,-2,-1
15352959,2026-02-13,Everton de Viña del Mar,1469553.0,Martín Cárcamo,Cristian Palacios,68,-2,-1
15352959,2026-02-13,Huachipato,1108721.0,Maicol León,Javier Nicolás Cárcamo,46,0,3
15352959,2026-02-13,Huachipato,1177673.0,Kevin Altez,Maximiliano Gutiérrez,80,2,1
15352959,2026-02-13,Huachipato,1108549.0,Claudio Torres,Lionel Altamirano,80,2,1
15352959,2026-02-13,Huachipato,845174.0,Mario Briceño,Maximiliano Rodríguez,86,2,1
15352959,2026-02-13,Huachipato,1106831.0,José Ignacio Castro,Lucas Velásquez,86,2,1
15352960,2026-02-14,Deportes La Serena,986598.0,Joaquín Gutiérrez,Bruno Gutiérrez,70,0,-1
15352960,2026-02-14,Deportes La Serena,1875021.0,Bastián Contreras,Jeisson Vargas,70,0,-1
15352960,2026-02-14,Deportes La Serena,874589.0,Matías Marín,Diego Rubio,70,0,-1
15352960,2026-02-14,Deportes La Serena,799653.0,Rafael Delgado,Francis Mac Allister,86,-1,0
15352960,2026-02-14,Coquimbo Unido,1108027.0,Alejandro Azócar,Luis Riveros,60,0,1
15352960,2026-02-14,Coquimbo Unido,1643443.0,Nicolás Johansen,Lucas Pratto,67,0,1
15352960,2026-02-14,Coquimbo Unido,1834686.0,Martín Mundaca,Benjamín Chandía,84,1,0
15352960,2026-02-14,Coquimbo Unido,889043.0,Rodrigo Holgado,Guido Vadalá,85,1,0
15352960,2026-02-14,Coquimbo Unido,981333.0,Dylan Glaby,Alejandro Camargo,85,1,0
15352961,2026-02-15,Universidad de Concepción,906102.0,Yerco Oyanedel,Antonio Díaz,46,-1,2
15352961,2026-02-15,Universidad de Concepción,965719.0,Ariel Uribe,Agustín Urzi,68,0,1
15352961,2026-02-15,Universidad de Concepción,986609.0,Jorge Espejo,Pablo Parra,79,1,0
15352961,2026-02-15,Universidad de Concepción,1125882.0,Harol Salgado,Cecilio Waterman,90,1,0
15352961,2026-02-15,Universidad de Concepción,883483.0,Moisés González,Jeison Fuentealba,90,1,0
15352961,2026-02-15,Deportes Concepción,1482455.0,Leenhan Romero,Aldrix Jara,60,0,-1
15352961,2026-02-15,Deportes Concepción,924468.0,Matías Cavalleri,Ethan Espinoza,73,-1,0
15352961,2026-02-15,Deportes Concepción,312318.0,Brayan Véjar,Javier Rojas,73,-1,0
15352961,2026-02-15,Deportes Concepción,1125898.0,Ángel Gillard,Leonardo Valencia,73,-1,0
15352961,2026-02-15,Deportes Concepción,247079.0,Carlos Escobar,Mario Sandoval,87,-1,0
15352962,2026-02-20,Deportes Concepción,986529.0,Ethan Espinoza,Carlos Escobar,63,0,0
15352962,2026-02-20,Deportes Concepción,22973.0,Cristián Suárez,Fausto Grillo,65,0,0
15352962,2026-02-20,Deportes Concepción,1125898.0,Ángel Gillard,Ignacio Mesías,80,0,0
15352962,2026-02-20,Deportes Concepción,986422.0,Aldrix Jara,Leonardo Valencia,80,0,0
15352962,2026-02-20,Deportes Concepción,991004.0,Mario Sandoval,Misael Dávila,80,0,0
15352962,2026-02-20,Cobresal,818865.0,Guillermo Pacheco,Benjamín Valenzuela,46,0,0
15352962,2026-02-20,Cobresal,937101.0,Steffan Pino,Matias Sepulveda,46,0,0
15352962,2026-02-20,Cobresal,962847.0,Esteban Valencia,Julián Brea,74,0,0
15352962,2026-02-20,Cobresal,385990.0,Juan Fuentes,Bryan Carvallo,85,1,-1
15352963,2026-02-15,Ñublense,1518443.0,Franco Rami,Ignacio Jeraldino,60,1,0
15352963,2026-02-15,Ñublense,1125913.0,Diego Sanhueza,Gabriel Graciani,61,1,0
15352963,2026-02-15,Ñublense,986676.0,Matías Plaza,Lucas Molina,61,1,0
15352963,2026-02-15,Ñublense,1197415.0,Alex Valdés,Ignacio Tapia,72,1,0
15352963,2026-02-15,Ñublense,863129.0,Sebastián Valencia,Jovany Campusano,76,1,0
15352963,2026-02-15,Audax Italiano,1114520.0,Paolo Guajardo,Michael Vadulli,43,0,-1
15352963,2026-02-15,Audax Italiano,859990.0,Franco Troyansky,Diego Coelho,46,-1,0
15352963,2026-02-15,Audax Italiano,1485094.0,Giovani Chiaverano,Rodrigo Cabral,46,-1,0
15352963,2026-02-15,Audax Italiano,1997135.0,Martín Jiménez,Marcelo Ortíz,78,-1,0
15352963,2026-02-15,Audax Italiano,1440662.0,Favian Loyola,Federico Mateos,78,-1,0
15352964,2026-02-09,Unión La Calera,822444.0,Yerko Leiva,Joaquín Soto,62,2,0
15352964,2026-02-09,Unión La Calera,1403421.0,Axel Encinas,Bayron Oyarzo,69,2,0
15352964,2026-02-09,Unión La Calera,822449.0,Camilo Moya,Sebastián Sáez,69,2,0
15352964,2026-02-09,Unión La Calera,924528.0,Matías Campos López,Francisco Jose Pozzo,80,2,0
15352964,2026-02-09,Unión La Calera,819005.0,Cristián Gutiérrez,Juan Manuel Requena,80,2,0
15352964,2026-02-09,Cobresal,1411683.0,Renato Huerta,Juan Fuentes,45,-2,0
15352965,2026-01-31,Deportes Limache,1199394.0,Axel Alfonzo,Joaquín Montecinos,72,3,-1
15352965,2026-01-31,Deportes Limache,877098.0,Danilo Catalán,Marcelo Flores,81,3,-1
15352965,2026-01-31,Deportes Limache,1644853.0,Flavio Moya,Jean Meneses,85,2,0
15352965,2026-01-31,Deportes Limache,863124.0,Misael Llantén,César Pinares,85,2,0
15352965,2026-01-31,Deportes Limache,871813.0,Marcos Arturia,Gonzalo Sosa,85,2,0
15352965,2026-01-31,Colo-Colo,340455.0,Claudio Aquino,Leandro Hernández,46,-3,1
15352965,2026-01-31,Colo-Colo,1997136.0,Yastin Cuevas,Francisco Marchant,46,-3,1
15352965,2026-01-31,Colo-Colo,1022259.0,Jeyson Rojas,Matías Fernández,66,-3,1
15352965,2026-01-31,Colo-Colo,1002936.0,Cristian Riquelme,Erick Wiemberg,75,-3,1
15352966,2026-01-30,Universidad de Chile,1482412.0,Ignacio Vásquez,Lucas Romero,46,0,0
15352966,2026-01-30,Universidad de Chile,359024.0,Juan Martín Lucero,Octavio Rivero,72,0,0
15352966,2026-01-30,Universidad de Chile,589542.0,Israel Poblete,Javier Altamirano,89,0,0
15352966,2026-01-30,Universidad de Chile,831012.0,Nicolás Ramírez,Maximiliano Guerrero,89,0,0
15352966,2026-01-30,Universidad de Chile,37006.0,Eduardo Vargas,Lucas Assadi,90,0,0
15352966,2026-01-30,Audax Italiano,986532.0,Federico Mateos,Martín Jiménez,46,0,0
15352966,2026-01-30,Audax Italiano,1485094.0,Giovani Chiaverano,Rodrigo Cabral,80,0,0
15352966,2026-01-30,Audax Italiano,859990.0,Franco Troyansky,Diego Coelho,89,0,0
15352966,2026-01-30,Audax Italiano,1440662.0,Favian Loyola,Michael Vadulli,89,0,0
15352967,2026-02-21,Universidad Católica,1982597.0,Vicente Cárcamo,Diego Corral,77,2,0
15352967,2026-02-21,Universidad Católica,819115.0,Jhojan Valencia,Matías Palavecino,77,2,0
15352967,2026-02-21,Universidad Católica,906110.0,Diego Valencia,Jimmy Martínez,87,2,0
15352967,2026-02-21,Universidad Católica,117430.0,Eugenio Mena,Cristián Cuevas,89,2,0
15352967,2026-02-21,Coquimbo Unido,829288.0,Salvador Cordero,Dylan Glaby,57,-1,-1
15352967,2026-02-21,Coquimbo Unido,889043.0,Rodrigo Holgado,Lucas Pratto,57,-1,-1
15352967,2026-02-21,Coquimbo Unido,974008.0,Sebastián Cabrera,Benjamín Chandía,71,-2,0
