player_id,player,team,partidos,minutos,gf_on,ga_on,pm,pm_per90
973567,Pablo Parra,Universidad de Concepción,6,265.0,3,1,2,0.68
1381958,Santiago Silva,Huachipato,11,906.0,14,12,2,0.2
1388813,Agustín Arce,Universidad de Chile,6,273.0,3,1,2,0.66
1385794,Maximiliano Gutiérrez,Huachipato,3,260.0,4,2,2,0.69
386220,Tomás Asta-Buruaga,Universidad Católica,6,410.0,8,6,2,0.44
1644853,Flavio Moya,Deportes Limache,6,104.0,3,1,2,1.73
1485094,Giovani Chiaverano,Audax Italiano,11,618.0,12,10,2,0.29
1657110,Sebastián Mella,Huachipato,3,270.0,5,3,2,0.67
1797934,Ian Garguez,Palestino,11,869.0,13,11,2,0.21
819115,Jhojan Valencia,Universidad Católica,11,580.0,13,11,2,0.31
870020,Víctor Felipe Méndez,Colo-Colo,11,946.0,9,7,2,0.19
895340,Marcelo Ortíz,Audax Italiano,10,888.0,14,12,2,0.2
1197415,Alex Valdés,Ñublense,7,208.0,2,0,2,0.87
1119737,Gonzalo Flores,Coquimbo Unido,1,90.0,2,0,2,2.0
892450,Alan Robledo,O'Higgins,5,450.0,7,5,2,0.4
889502,Álvaro Madrid,Colo-Colo,10,614.0,6,4,2,0.29
912067,Michael Vadulli,Audax Italiano,7,424.0,7,5,2,0.42
1017169,Javier Saldías,Unión La Calera,4,129.0,3,1,2,1.4
1797930,Francisco Montes,Palestino,10,643.0,9,8,1,0.14
284729,Fernando Zuqui,Universidad Católica,4,245.0,6,5,1,0.37
376740,Guido Vadalá,Coquimbo Unido,9,650.0,7,6,1,0.14
312376,Lorenzo Reyes,Ñublense,11,990.0,9,8,1,0.09
316170,Gonzalo Escalante,Deportes La Serena,8,720.0,8,7,1,0.12
247073,César Fuentes,Deportes Limache,5,127.0,3,2,1,0.71
1836929,Luca Kmet,Universidad de Concepción,1,21.0,1,0,1,4.29
1836788,Dilan Varas,Deportes Concepción,1,90.0,1,0,1,1.0
1834686,Martín Mundaca,Coquimbo Unido,7,290.0,3,2,1,0.31
1385673,Valentín Vidal,Everton de Viña del Mar,7,473.0,6,5,1,0.19
1409361,Juan Francisco Rossel,Universidad Católica,4,45.0,2,1,1,2.0
588796,Jimmy Martínez,Universidad Católica,10,589.0,11,10,1,0.15
1464930,Martín Araya,Palestino,7,372.0,6,5,1,0.24
787710,Kevin Méndez,Unión La Calera,10,848.0,11,10,1,0.11
789677,Martín Sarrafiore,O'Higgins,9,503.0,7,6,1,0.18
819072,Jorge Henríquez,Deportes Concepción,8,442.0,4,3,1,0.2
1119679,Lucas Soto,Everton de Viña del Mar,8,438.0,5,4,1,0.21
819075,Osvaldo Bosso,Ñublense,11,990.0,9,8,1,0.09
1138070,Felipe Salomoni,Universidad de Chile,6,211.0,2,1,1,0.43
1464931,Vicente Espinoza,Palestino,9,810.0,12,11,1,0.11
1384819,Yahir Salazar,Deportes La Serena,8,699.0,9,8,1,0.13
805408,Alejandro Camargo,Coquimbo Unido,9,700.0,9,8,1,0.13
818874,Fernando de Paul,Colo-Colo,9,790.0,6,5,1,0.11
1201172,Lucas Romero,Universidad de Chile,4,188.0,1,0,1,0.48
1177236,Esteban Matus,Audax Italiano,11,969.0,14,13,1,0.09
1083863,Nicolás Aedo,Audax Italiano,10,578.0,9,8,1,0.16
1108027,Alejandro Azócar,Coquimbo Unido,8,345.0,5,4,1,0.26
1106831,José Ignacio Castro,Huachipato,3,68.0,2,1,1,1.32
1106822,Bastián Ubal,Universidad de Concepción,2,27.0,1,0,1,3.33
868786,Joe Abrigo,Palestino,1,46.0,1,0,1,1.96
851968,Cris Martínez,Huachipato,9,632.0,9,8,1,0.14
988078,Harold Antiñirre,Huachipato,6,166.0,3,2,1,0.54
995284,Luis Rojas,Universidad de Concepción,1,75.0,1,0,1,1.2
883928,Nelson Da Silva,Palestino,10,698.0,12,11,1,0.13
886912,Benjamín Berríos,Everton de Viña del Mar,7,626.0,6,5,1,0.14
1015675,Pablo Calderón,Ñublense,4,335.0,4,3,1,0.27
1015274,Joaquín Sosa,Colo-Colo,11,915.0,8,7,1,0.1
875274,Diego Coelho,Audax Italiano,10,408.0,3,2,1,0.22
1002936,Cristian Riquelme,Colo-Colo,1,15.0,1,0,1,6.0
1002931,Bruno Gutiérrez,Deportes La Serena,11,850.0,12,11,1,0.11
995285,Alejandro Santander,Cobresal,5,450.0,6,5,1,0.2
986532,Federico Mateos,Audax Italiano,10,773.0,12,11,1,0.12
986647,Lukas Soza,Coquimbo Unido,1,90.0,1,0,1,1.0
906110,Diego Valencia,Universidad Católica,5,76.0,1,0,1,1.18
906106,Ignacio Mesías,Deportes Concepción,7,394.0,5,4,1,0.23
981010,Enzo Ferrario,Audax Italiano,8,705.0,9,8,1,0.13
981341,Franco Calderón,Universidad de Chile,8,639.0,6,5,1,0.14
976168,Hugo Magallanes,Everton de Viña del Mar,8,720.0,6,5,1,0.12
940483,Maximiliano Rodríguez,Huachipato,11,792.0,12,11,1,0.11
117430,Eugenio Mena,Universidad Católica,7,327.0,6,5,1,0.28
2331086,Jhon Cortes,Universidad de Chile,1,26.0,1,0,1,3.46
951277,Bayron Oyarzo,Unión La Calera,10,673.0,9,8,1,0.13
951270,Joaquín Moya,Everton de Viña del Mar,11,939.0,9,8,1,0.1
962130,Fernando Ovelar,Ñublense,10,285.0,3,2,1,0.32
