player_id,player,team,rival,match_id,date,venue,minutes,gf_on,ga_on,pm
324937,Cristián Cuevas,Universidad Católica,Cobresal,15352949,2026-02-14,Away,90.0,1,3,-2
22975,Gary Medel,Universidad Católica,Cobresal,15352949,2026-02-14,Away,90.0,1,3,-2
588796,Jimmy Martínez,Universidad Católica,Cobresal,15352949,2026-02-14,Away,70.0,1,3,-2
1473023,Diego Corral,Universidad Católica,Cobresal,15352949,2026-02-14,Away,81.0,1,3,-2
973560,Matías Palavecino,Universidad Católica,Cobresal,15352949,2026-02-14,Away,81.0,1,3,-2
932866,Justo Giani,Universidad Católica,Cobresal,15352949,2026-02-14,Away,90.0,1,3,-2
828952,Fernando Zampedri,Universidad Católica,Cobresal,15352949,2026-02-14,Away,90.0,1,3,-2
819115,Jhojan Valencia,Universidad Católica,Cobresal,15352949,2026-02-14,Away,20.0,0,0,0
818693,Bernardo Cerezo,Universidad Católica,Cobresal,15352949,2026-02-14,Away,20.0,0,0,0
906110,Diego Valencia,Universidad Católica,Cobresal,15352949,2026-02-14,Away,9.0,0,0,0
1982597,Vicente Cárcamo,Universidad Católica,Cobresal,15352949,2026-02-14,Away,9.0,0,0,0
874123,Matías Bórquez,Deportes Limache,O'Higgins,15352950,2026-02-14,Home,90.0,2,1,1
875564,Augusto Aguirre,Deportes Limache,O'Higgins,15352950,2026-02-14,Home,90.0,2,1,1
33829,Alfonso Parot,Deportes Limache,O'Higgins,15352950,2026-02-14,Home,90.0,2,1,1
980882,Yerko González,Deportes Limache,O'Higgins,15352950,2026-02-14,Home,90.0,2,1,1
986599,Joaquín Montecinos,Deportes Limache,O'Higgins,15352950,2026-02-14,Home,68.0,2,1,1
874853,Ramón Martínez,Deportes Limache,O'Higgins,15352950,2026-02-14,Home,90.0,2,1,1
818974,César Pinares,Deportes Limache,O'Higgins,15352950,2026-02-14,Home,68.0,2,1,1
1197239,Marcelo Flores,Deportes Limache,O'Higgins,15352950,2026-02-14,Home,90.0,2,1,1
818816,Jean Meneses,Deportes Limache,O'Higgins,15352950,2026-02-14,Home,90.0,2,1,1
988084,Gonzalo Sosa,Deportes Limache,O'Higgins,15352950,2026-02-14,Home,85.0,2,1,1
925992,Daniel Castro,Deportes Limache,O'Higgins,15352950,2026-02-14,Home,90.0,2,1,1
863124,Misael Llantén,Deportes Limache,O'Higgins,15352950,2026-02-14,Home,22.0,0,0,0
247073,César Fuentes,Deportes Limache,O'Higgins,15352950,2026-02-14,Home,22.0,0,0,0
871813,Marcos Arturia,Deportes Limache,O'Higgins,15352950,2026-02-14,Home,5.0,0,0,0
877098,Danilo Catalán,Deportes Limache,O'Higgins,15352950,2026-02-14,Home,0.0,0,0,0
2116602,Facundo Marín,Deportes Limache,O'Higgins,15352950,2026-02-14,Home,0.0,0,0,0
831242,Omar Carabalí,O'Higgins,Deportes Limache,15352950,2026-02-14,Away,90.0,1,2,-1
1482408,Felipe Faúndez,O'Higgins,Deportes Limache,15352950,2026-02-14,Away,90.0,1,2,-1
892450,Alan Robledo,O'Higgins,Deportes Limache,15352950,2026-02-14,Away,90.0,1,2,-1
1002945,Nicolás Garrido,O'Higgins,Deportes Limache,15352950,2026-02-14,Away,90.0,1,2,-1
975291,Leandro Díaz,O'Higgins,Deportes Limache,15352950,2026-02-14,Away,90.0,1,2,-1
1485083,Benjamin Schamine,O'Higgins,Deportes Limache,15352950,2026-02-14,Away,46.0,1,1,0
983528,Francisco González,O'Higgins,Deportes Limache,15352950,2026-02-14,Away,60.0,1,2,-1
126376,Bryan Rabello,O'Higgins,Deportes Limache,15352950,2026-02-14,Away,60.0,1,2,-1
1177211,Felipe Ogaz,O'Higgins,Deportes Limache,15352950,2026-02-14,Away,81.0,1,2,-1
