player_id,player,team,match_id,minutes,goals,assists,shots,sot,key_passes,big_chances_created,big_chances_missed,touches,passes,passes_acc,long_balls,long_balls_acc,crosses,crosses_acc,dribbles,dribbles_won,interceptions,clearances,tackles_won,tackles_total,aerial_won,ball_recovery,duel_won,duel_lost,blocked_shots,fouls,was_fouled,offsides,saves
832663,Christian Moreno,Cobresal,15352949,90,0,0,0,0,0,0,0,28,20,16,4,1,0,0,0,0,1,4,0,1,1,2,2,1,0,0,0,0,0
986622,José Tiznado,Cobresal,15352949,90,0,0,0,0,0,0,0,41,23,19,6,3,0,0,0,0,3,9,1,1,3,3,4,3,1,3,0,0,0
1014802,Rodrigo Sandoval,Cobresal,15352949,36,0,0,0,0,1,0,0,17,13,11,3,2,1,1,1,1,0,0,0,0,0,2,1,2,0,1,0,0,0
1021117,César Yanis,Cobresal,15352949,86,0,1,1,1,1,0,0,52,40,30,8,5,1,0,1,1,2,1,0,1,0,6,3,1,0,0,1,1,0
873620,Agustin Nadruz,Cobresal,15352949,90,1,0,2,3,0,0,0,37,27,20,6,2,0,0,0,0,1,1,1,2,0,1,2,3,0,1,0,0,0
790000,Bryan Carvallo,Cobresal,15352949,90,1,0,1,2,4,0,0,59,32,28,2,2,5,2,3,1,0,1,0,1,0,4,5,4,0,1,3,0,0
937101,Steffan Pino,Cobresal,15352949,86,1,0,4,4,1,0,0,31,17,11,2,1,0,0,2,0,0,2,2,2,1,1,3,11,0,0,0,1,0
974736,Julián Brea,Cobresal,15352949,78,0,1,3,1,1,0,0,24,16,12,1,0,2,2,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0
1016643,Aaron Astudillo,Cobresal,15352949,54,0,0,0,0,0,0,0,21,9,8,1,1,2,1,0,0,1,5,0,2,0,6,2,2,0,1,0,0,0
962847,Esteban Valencia,Cobresal,15352949,12,0,0,0,0,0,0,0,4,3,2,2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1973053,Benjamín Valenzuela,Cobresal,15352949,13,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,1,0,0
1835784,Matias Sepulveda,Cobresal,15352949,13,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1016653,Vicente Bernedo,Universidad Católica,15352949,90,0,0,0,0,0,0,0,36,26,21,11,6,0,0,0,0,0,0,1,1,0,6,1,0,0,0,0,0,5
386220,Tomás Asta-Buruaga,Universidad Católica,15352949,70,0,0,1,0,2,0,0,64,35,30,3,1,7,1,1,1,2,2,0,1,2,3,5,2,0,0,1,0,0
819088,Branco Ampuero,Universidad Católica,15352949,90,0,0,2,0,0,0,0,54,42,37,7,4,0,0,0,0,2,6,0,0,3,4,3,3,0,0,0,0,0
896624,Juan Ignacio Díaz,Universidad Católica,15352949,90,0,0,1,1,0,0,0,75,61,52,8,3,0,0,0,0,4,6,2,2,8,8,10,0,0,0,0,0,0
324937,Cristián Cuevas,Universidad Católica,15352949,90,0,0,0,0,2,0,0,74,43,36,3,1,10,3,1,0,1,3,0,1,2,3,3,3,0,1,0,0,0
22975,Gary Medel,Universidad Católica,15352949,90,0,0,0,0,0,0,0,72,67,64,10,8,0,0,0,0,0,1,0,1,0,6,1,2,0,1,0,0,0
588796,Jimmy Martínez,Universidad Católica,15352949,70,0,0,0,0,3,0,0,48,37,32,4,3,3,1,0,0,0,0,1,1,0,6,4,2,0,2,3,0,0
1473023,Diego Corral,Universidad Católica,15352949,81,0,0,2,0,1,0,0,39,24,21,0,0,5,0,0,0,0,1,0,1,1,4,3,4,0,0,1,0,0
973560,Matías Palavecino,Universidad Católica,15352949,81,0,0,1,0,3,0,0,68,54,45,6,1,8,2,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0
932866,Justo Giani,Universidad Católica,15352949,90,0,0,9,1,0,0,1,48,27,20,1,0,0,0,3,1,0,0,0,0,4,3,6,3,0,0,1,1,0
828952,Fernando Zampedri,Universidad Católica,15352949,90,2,0,4,5,0,0,0,25,16,13,3,1,0,0,1,1,0,0,0,0,1,1,2,3,0,0,0,0,0
818693,Bernardo Cerezo,Universidad Católica,15352949,20,0,0,0,0,5,0,0,35,25,24,2,1,6,4,1,0,0,0,0,0,0,2,0,2,0,0,0,0,0
819115,Jhojan Valencia,Universidad Católica,15352949,20,0,0,1,0,1,0,0,41,35,29,4,1,0,0,0,0,0,0,0,0,0,5,0,1,0,1,0,0,0
1982597,Vicente Cárcamo,Universidad Católica,15352949,9,0,0,1,1,0,0,0,22,12,10,1,0,1,1,2,1,0,0,1,1,0,3,4,1,0,0,2,0,0
906110,Diego Valencia,Universidad Católica,15352949,9,0,1,0,0,1,1,0,4,2,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
874123,Matías Bórquez,Deportes Limache,15352950,90,0,0,0,0,0,0,0,31,26,15,17,6,0,0,0,0,0,1,0,0,1,5,1,0,0,0,0,0,2
875564,Augusto Aguirre,Deportes Limache,15352950,90,0,0,0,0,0,0,0,36,23,14,5,0,0,0,0,0,2,8,0,0,1,3,1,3,1,2,0,0,0
33829,Alfonso Parot,Deportes Limache,15352950,90,0,0,0,0,0,0,0,41,25,21,5,2,0,0,0,0,1,12,2,2,2,3,4,0,1,0,0,0,0
980882,Yerko González,Deportes Limache,15352950,90,0,0,0,0,0,0,0,52,35,23,9,2,0,0,1,1,1,5,1,1,2,10,4,3,0,0,0,0,0
986599,Joaquín Montecinos,Deportes Limache,15352950,68,0,1,0,0,2,1,0,39,20,16,3,1,3,1,2,0,0,3,2,2,0,5,2,7,0,0,0,0,0
874853,Ramón Martínez,Deportes Limache,15352950,90,0,0,0,0,0,0,0,34,23,15,3,0,1,0,1,0,0,1,1,1,4,2,5,7,1,1,0,0,0
818974,César Pinares,Deportes Limache,15352950,68,0,0,0,0,0,0,0,21,19,15,4,3,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0
1197239,Marcelo Flores,Deportes Limache,15352950,90,0,1,0,0,1,1,0,61,22,15,6,2,3,1,1,0,2,7,4,4,1,6,5,3,1,1,0,0,0
818816,Jean Meneses,Deportes Limache,15352950,89,1,0,1,2,1,0,0,47,26,15,4,2,2,0,3,2,0,0,2,3,0,4,7,7,0,2,2,0,0
988084,Gonzalo Sosa,Deportes Limache,15352950,85,0,0,1,0,2,0,0,26,19,13,1,0,0,0,1,1,0,1,0,0,2,1,5,4,0,2,2,0,0
925992,Daniel Castro,Deportes Limache,15352950,89,1,0,7,6,1,0,1,44,21,15,3,2,3,1,3,1,1,0,0,0,2,6,5,6,0,2,2,0,0
863124,Misael Llantén,Deportes Limache,15352950,22,0,0,0,0,0,0,0,10,6,5,1,1,0,0,0,0,0,0,0,1,0,1,1,2,0,0,0,0,0
247073,César Fuentes,Deportes Limache,15352950,22,0,0,0,0,0,0,0,8,6,3,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
871813,Marcos Arturia,Deportes Limache,15352950,13,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,4,0,1,1,0,0
877098,Danilo Catalán,Deportes Limache,15352950,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2116602,Facundo Marín,Deportes Limache,15352950,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
831242,Omar Carabalí,O'Higgins,15352950,90,0,0,0,0,0,0,0,42,23,18,8,3,0,0,0,0,0,0,0,0,0,17,2,0,0,0,2,0,3
1482408,Felipe Faúndez,O'Higgins,15352950,90,0,0,1,1,1,0,0,67,34,30,1,0,2,0,2,1,0,2,1,1,0,3,4,5,1,0,2,0,0
892450,Alan Robledo,O'Higgins,15352950,90,0,0,2,0,0,0,0,51,42,33,4,1,0,0,0,0,3,1,0,1,3,4,4,3,0,1,0,0,0
1002945,Nicolás Garrido,O'Higgins,15352950,90,0,0,1,0,0,0,0,52,35,28,8,3,0,0,0,0,3,7,0,1,5,0,7,3,1,1,1,0,0
975291,Leandro Díaz,O'Higgins,15352950,90,0,0,1,0,0,0,0,88,61,50,12,7,1,0,3,2,1,3,2,2,3,2,8,3,0,1,1,0,0
1485083,Benjamin Schamine,O'Higgins,15352950,45,0,0,0,0,0,0,0,35,31,27,3,2,0,0,0,0,0,0,1,2,0,2,3,1,0,1,1,0,0
983528,Francisco González,O'Higgins,15352950,60,0,0,1,0,5,1,0,32,14,12,1,0,10,4,1,0,0,0,1,1,0,3,2,4,0,0,1,0,0
126376,Bryan Rabello,O'Higgins,15352950,60,1,0,2,2,2,0,0,42,33,28,0,0,2,0,0,0,0,0,0,0,1,4,2,3,0,1,1,0,0
