date,round_num,local_team,away_team,p_over_15,pred_over_15,target_over_15,p_over_25,pred_over_25,target_over_25,p_btts,pred_btts,target_btts
2026-05-02,35,Atalanta,Genoa,0.46209302335622254,0,,0.5013895736830323,1,,0.44907617383960147,0,
2026-05-17,37,Atalanta,Bologna,0.5485658257503393,1,,0.5001363040522161,1,,0.49454683376194264,0,
2026-04-25,34,Bologna,Roma,0.5982371495937127,1,1.0,0.5960242870409768,1,0.0,0.6036533647957631,1,0.0
2026-05-03,35,Bologna,Cagliari,0.6062271996362676,1,,0.656554283670605,1,,0.5742373560130544,1,
2026-04-27,34,Cagliari,Atalanta,0.5805617039873833,1,,0.426400320213313,0,,0.5368028147346853,1,
2026-05-09,36,Cagliari,Udinese,0.499495774523054,0,,0.4454703463984429,0,,0.4878687434365618,0,
2026-05-17,37,Cagliari,Torino,0.4664540955438265,0,,0.4662613301484218,0,,0.4402241579039153,0,
2026-05-02,35,Como,Napoli,0.572442443314689,1,,0.5073232222091348,1,,0.5119767556388702,1,
2026-05-17,37,Como,Parma,0.4661606137784107,0,,0.5264076574274521,1,,0.4273367348066223,0,
2026-05-04,35,Cremonese,Lazio,0.4201717187004696,0,,0.34456175443782655,0,,0.4744159895121479,0,
2026-05-10,36,Cremonese,Pisa,0.46933309302712406,0,,0.5309142349601647,1,,0.5114508025676142,1,
2026-05-24,38,Cremonese,Como,0.553551077793649,1,,0.4089729479295728,0,,0.5346886398549413,1,
2026-04-26,34,Fiorentina,Sassuolo,0.549286666839409,1,0.0,0.49771276682422383,0,0.0,0.5700084213053607,1,0.0
2026-05-10,36,Fiorentina,Genoa,0.5720205716964862,1,,0.5065304330320964,1,,0.5374546296175553,1,
2026-05-24,38,Fiorentina,Atalanta,0.5696341880778238,1,,0.5026029002427271,1,,0.5690344699334613,1,
2026-04-26,34,Genoa,Como,0.5855203409536723,1,1.0,0.4358460182343689,0,0.0,0.5403276374185689,1,0.0
2026-05-17,37,Genoa,Milan,0.4782283581890206,0,,0.41593820892483774,0,,0.45048557789693583,0,
2026-04-25,34,Hellas Verona,Lecce,0.6012815873538119,1,0.0,0.6229478476222399,1,0.0,0.6241035874243572,1,0.0
2026-05-10,36,Hellas Verona,Como,0.584273389565415,1,,0.44713637332213085,0,,0.518585132833428,1,
2026-05-24,38,Hellas Verona,Roma,0.4995330027153787,0,,0.453557393364817,0,,0.5414185602409936,1,
2026-05-03,35,Internazionale,Parma,0.3814595145047031,0,,0.38270524387298954,0,,0.3137525812083409,0,
2026-05-17,37,Internazionale,Hellas Verona,0.524809998392008,1,,0.6255330669885995,1,,0.43100174209147124,0,
2026-05-03,35,Juventus,Hellas Verona,0.7336329013505535,1,,0.754174766809259,1,,0.6876048812991721,1,
2026-05-17,37,Juventus,Fiorentina,0.5823632841675883,1,,0.5878306756519363,1,,0.5070402372305546,1,
2026-04-27,34,Lazio,Udinese,0.590154881753092,1,,0.36370035696361364,0,,0.49139424501670287,0,
2026-05-24,38,Lazio,Pisa,0.49126979532461745,0,,0.5185844781726022,1,,0.4572524245721771,0,
2026-05-09,36,Lecce,Juventus,0.3704021213719459,0,,0.34669665661444216,0,,0.4458912972093548,0,
2026-05-24,38,Lecce,Genoa,0.49973692379714063,0,,0.483794900375169,0,,0.5168683633977923,1,
2026-04-26,34,Milan,Juventus,0.5654040940623396,1,0.0,0.4578512488488363,0,0.0,0.4353620574146843,0,0.0
2026-05-10,36,Milan,Atalanta,0.5709103064347301,1,,0.4921897979168268,0,,0.5267393372748028,1,
2026-05-24,38,Milan,Cagliari,0.6012341047310646,1,,0.602345414051532,1,,0.5551753823260267,1,
2026-04-24,34,Napoli,Cremonese,0.4733305239873469,0,1.0,0.5346566755992954,1,1.0,0.3318266523624001,0,0.0
2026-05-11,36,Napoli,Bologna,0.6018571770346086,1,,0.4865316441415206,0,,0.4657032820345175,0,
2026-05-24,38,Napoli,Udinese,0.5920915108324193,1,,0.5847702806659965,1,,0.5193636489681436,1,
2026-04-25,34,Parma,Pisa,0.39813749748442046,0,0.0,0.5028166371513612,1,0.0,0.5058773884839988,1,0.0
2026-05-10,36,Parma,Roma,0.5500081533132197,1,,0.4349683477568869,0,,0.5544088212603647,1,
2026-05-24,38,Parma,Sassuolo,0.4914495041580628,0,,0.4504061091438755,0,,0.4879552298213532,0,
2026-05-01,35,Pisa,Lecce,0.50237687998652,1,,0.5311597834434322,1,,0.5453637870809764,1,
2026-05-17,37,Pisa,Napoli,0.4642086085877073,0,,0.4208869528538785,0,,0.4886638001621748,0,
2026-05-04,35,Roma,Fiorentina,0.6533214840761742,1,,0.4571772305305301,0,,0.49943792496030676,0,
2026-05-17,37,Roma,Lazio,0.5374903868261378,1,,0.5317641895356293,1,,0.46508835024120493,0,
2026-05-03,35,Sassuolo,Milan,0.5556724445194391,1,,0.4316615844670267,0,,0.4541187497700026,0,
2026-05-17,37,Sassuolo,Lecce,0.5348274511169275,1,,0.5083682758111127,1,,0.516465205726237,1,
2026-05-08,36,Torino,Sassuolo,0.44102219930816045,0,,0.4350000882539814,0,,0.4365949964347332,0,
2026-05-24,38,Torino,Juventus,0.5194049936366449,1,,0.4573818089145327,0,,0.5057219687311516,1,
2026-05-02,35,Udinese,Torino,0.49466858496468535,0,,0.530398487219517,1,,0.4951054901691971,0,
2026-05-17,37,Udinese,Cremonese,0.3398374033949579,0,,0.4317098773737622,0,,0.39060899794672216,0,
