target,feature_set,corr_threshold,k,C,class_weight,folds,accuracy,accuracy_std,balanced_accuracy,balanced_accuracy_std,f1,f1_std,roc_auc,roc_auc_std,average_precision,average_precision_std,log_loss,log_loss_std,brier,brier_std
over_15,rolling_only,0.95,36,0.03,balanced,3,0.5674019607843137,0.04596748219615751,0.5641946989207551,0.03753508092230198,0.6699175824175825,0.033871706435909164,0.561670676321337,0.0287727354996341,0.7917001364886854,0.07403655410255734,0.7003198324093424,0.010080796099000615,0.25183361257278847,0.0029938271556358017
over_15,rolling_only,0.9,36,0.03,balanced,3,0.5693627450980392,0.045936106856266604,0.5655721093890748,0.03609026241877196,0.6718884818884819,0.03397025867625968,0.5618393388276618,0.028534320629071942,0.791780513753956,0.07394194573963885,0.7006050946150227,0.010236929161198182,0.25194878550409694,0.0030842727575289804
over_15,rolling_only,0.95,72,0.03,balanced,3,0.5835784313725491,0.04604582701302409,0.5723872219200102,0.026522873134284357,0.6869156277682501,0.03578490972405622,0.5802085981517976,0.053893675959796807,0.7912797318302722,0.07798392564775714,0.7072884906394226,0.01185793226225257,0.2528967359898615,0.006425946305183594
over_15,rolling_only,0.9,72,0.03,balanced,3,0.604656862745098,0.040905680559522276,0.5895908765801353,0.0490050989363236,0.7081450949686556,0.03122606627545235,0.5867109532114111,0.054933525453425586,0.7928227386349859,0.07701307536340335,0.7083663456212484,0.013336713340342515,0.2529477351717863,0.007073275674699904
over_15,rolling_only,0.9,36,0.1,balanced,3,0.5526960784313726,0.06753596305130477,0.5452889100013977,0.05095434950784512,0.6565394296462258,0.054359145621423306,0.5585713767331429,0.028050044667915202,0.7915471679565306,0.06948814865639709,0.714352695863404,0.005607521707355525,0.2575456186461062,0.0008308616760561496
over_15,rolling_only,0.95,36,0.1,balanced,3,0.5468137254901961,0.06648168540602156,0.539132728520541,0.05367384708947066,0.6515923396991359,0.05306331256096831,0.5580091683787267,0.028794371188026226,0.791255424287239,0.06983472727914161,0.7147324807487837,0.005853615047384002,0.2576952887494918,0.001042526474722866
over_15,rolling_only,0.9,36,0.3,balanced,3,0.5426470588235294,0.05154756149162064,0.5311709699154472,0.036895203739393145,0.6497252747252747,0.040016324205935684,0.5536795547439818,0.027079670552019933,0.7901351330590886,0.067216750677516,0.7276127708502705,0.001637394302005178,0.26298236187892726,0.0017146302313421507
over_15,rolling_only,0.95,36,0.3,balanced,3,0.5387254901960784,0.05106045749019524,0.5304400990547063,0.03732915296144276,0.6446386946386947,0.039258882153891166,0.5539044380857483,0.02680595320079132,0.7887249506517247,0.0689064035419119,0.7287828502180331,0.002403531716343478,0.26342783616442417,0.0017149418766117502
over_15,rolling_only,0.95,72,0.1,balanced,3,0.5794117647058824,0.031247837295405582,0.5727344638704767,0.02439166049596084,0.6836272925303915,0.026422840691483974,0.5801212370632399,0.05073584506065771,0.7997152523729892,0.07551280409767439,0.7313871189800801,0.024249664243505005,0.2602065666186288,0.011286805980306557
over_15,rolling_only,0.9,72,0.1,balanced,3,0.5882352941176471,0.019518792884377027,0.5684249762442543,0.04816835724104433,0.6960942110628253,0.016414603443772068,0.5863452117370612,0.05536411503082564,0.7962673316369505,0.07326349376705929,0.7351351860584243,0.028638285537670075,0.2608832190986812,0.01297746102465217
over_15,rolling_only,0.95,all,0.03,balanced,3,0.5840686274509803,0.014611626039989096,0.5397973163762444,0.02634116563631373,0.6973281828424271,0.01790571719934946,0.5650630886960435,0.05824695792050466,0.8000215564217571,0.07915124479682405,0.743934485162384,0.07270697079753734,0.2627151085175965,0.018527985357640563
