league,target,market,split,rows,positive_rate,current_season_id,test_round_min,feature_set,features_pool,features_selected,corr_threshold,k,C,class_weight,accuracy,balanced_accuracy,f1,roc_auc,average_precision,log_loss,brier,monotonic_over15_adjustments_test
serie_a,over_15,Over 1.5 goles,train,168,0.6845238095238095,76457,20,rolling_only,504,36,0.9,36,0.03,balanced,0.7738095238095238,0.7737489745693191,0.8240740740740741,0.8461853978671041,0.9273373158996243,0.5200898601291005,0.17191287866023838,65
serie_a,over_15,Over 1.5 goles,test,161,0.7204968944099379,76457,20,rolling_only,504,36,0.9,36,0.03,balanced,0.5031055900621118,0.48515325670498083,0.6039603960396039,0.46455938697318006,0.703514000695602,0.7987350536388871,0.29225712035884505,65
serie_a,over_25,Over 2.5 goles,train,168,0.4583333333333333,76457,20,rolling_only,504,72,0.9,72,0.03,balanced,0.7440476190476191,0.7467532467532467,0.7361963190184049,0.8645640074211502,0.8468246161433177,0.48792646854233096,0.15877823440616964,65
serie_a,over_25,Over 2.5 goles,test,161,0.4782608695652174,76457,20,rolling_only,504,72,0.9,72,0.03,balanced,0.5093167701863354,0.5086580086580087,0.49032258064516127,0.49829931972789115,0.5069172034493755,0.8316767218643046,0.3009940065361765,65
serie_a,btts,Ambos anotan,train,168,0.47619047619047616,76457,20,rolling_plus_h2h,537,471,0.9,all,0.03,balanced,0.9404761904761905,0.9409090909090909,0.9382716049382716,0.9884943181818182,0.9873344226334138,0.3177709179145802,0.08622965937880983,65
serie_a,btts,Ambos anotan,test,161,0.43478260869565216,76457,20,rolling_plus_h2h,537,471,0.9,all,0.03,balanced,0.484472049689441,0.49615384615384617,0.49696969696969695,0.5127158555729985,0.46896968559686675,0.9747682902984365,0.3303463709337672,65
