feature_set,corr_threshold,k,C,class_weight,folds,accuracy,accuracy_std,balanced_accuracy,balanced_accuracy_std,macro_f1,macro_f1_std,weighted_f1,weighted_f1_std,log_loss,log_loss_std,brier_multiclass,brier_multiclass_std,within_logloss_tolerance
rolling_only,0.9,48,0.01,balanced,3,0.6002450980392157,0.009907540652650862,0.583532623497679,0.016178482752515225,0.5783951327340836,0.010028007101991311,0.5950333261725155,0.009898756527305723,0.9328885963481968,0.018117802734294218,0.5570822309563648,0.010370969502283457,True
rolling_only,0.95,48,0.01,balanced,3,0.5965686274509804,0.024734266297142874,0.5819115287159865,0.02797442750943503,0.5747083655296216,0.021271339302787722,0.5913150040457159,0.022567478759446983,0.932277467297523,0.02533219913697281,0.5566725979758939,0.014662687226544922,True
rolling_only,0.95,24,0.03,balanced,3,0.5816176470588236,0.025520814943617885,0.5685143435878436,0.020724291110420696,0.5678768168285241,0.02013170292255924,0.5853411626876966,0.026942942577476706,0.9366087613140229,0.027753157649153332,0.5616355598699396,0.017772296863957943,True
rolling_only,0.9,36,0.03,balanced,3,0.5904411764705882,0.02709636143042393,0.5744686958347174,0.01826788352255995,0.5674287465142038,0.017894350091695564,0.5839134237100878,0.029203796957513985,0.9366726549346188,0.023782393339758193,0.5588742866915691,0.01429191370188495,True
rolling_only,0.95,72,0.01,balanced,3,0.5882352941176471,0.01663780661615405,0.5689503123405975,0.016836916113103416,0.564628464906283,0.01297321552649014,0.5842726254846715,0.01803288322226429,0.9324509590933431,0.021671763530723333,0.5571760632149604,0.012543881536568342,True
rolling_only,0.9,36,0.01,balanced,3,0.5884803921568628,0.025642924803236395,0.5711344051988395,0.026649694790186175,0.5635497948123221,0.019704656470204536,0.580890185070759,0.02422173708814556,0.9345037573269023,0.024025811101656774,0.5578562425394307,0.014608621755456987,True
rolling_only,0.9,48,0.01,none,3,0.6164215686274509,0.02572712288577966,0.5783099555560333,0.04458465958236263,0.562345184298055,0.0452469087529736,0.5891521561043047,0.027394805314153083,0.9246573204375174,0.023152542663040093,0.5497626346015502,0.015423285215573814,True
rolling_only,0.95,108,0.003,balanced,3,0.5825980392156863,0.033835959636932075,0.5656871721200275,0.02950345647026235,0.5612053853559048,0.028404359654581643,0.5775192617481139,0.03498199716707663,0.9385906284473998,0.02815322494784493,0.5603743128274304,0.016698929875491486,True
rolling_only,0.95,48,0.003,balanced,3,0.586764705882353,0.036395201972837035,0.5668952036907305,0.03355261351252411,0.5594682049935277,0.030503346042450603,0.5782080463482407,0.03682053438678976,0.9364220210939097,0.027228174080203886,0.559110212859442,0.0167576914331349,True
rolling_only,0.9,48,0.03,balanced,3,0.5816176470588236,0.015318137247058564,0.5615339790310999,0.027851229235239753,0.557713322730418,0.025715973679394766,0.5766694543895876,0.01253380277065463,0.9338176076656076,0.013419707154582022,0.5575511430510006,0.007498889766415069,True
rolling_only,0.9,24,0.01,balanced,3,0.5803921568627451,0.029548294225844186,0.561214520817813,0.03151040159031908,0.5573891483656267,0.03197235778124306,0.5758061574378399,0.03295927919551405,0.9382713257756509,0.025429580317584567,0.5613706154443,0.01596054133885121,True
rolling_only,0.95,72,0.003,balanced,3,0.5840686274509803,0.014611626039989096,0.5638300348509909,0.009690215944248988,0.5571537072880828,0.008693105427645674,0.5765077061142632,0.017732627060399502,0.9343078680350762,0.02517854040328957,0.5577990764449741,0.015092839000783216,True
rolling_only,0.9,48,0.03,none,3,0.6044117647058823,0.023398841146789428,0.5683153550334824,0.04017039300793182,0.5552850957754628,0.04336190642815565,0.5812847383095711,0.026589708772567562,0.9258935853601828,0.01776207022344984,0.5498624155242204,0.012954115271827701,True
rolling_only,0.95,48,0.03,none,3,0.6029411764705882,0.0328230110999909,0.5664792869275731,0.039249275003048256,0.5484519279076443,0.04108442239651683,0.5758545877633839,0.03377416449636134,0.9315735508157269,0.0316602024857727,0.5537400746459024,0.02023515726663709,True
rolling_only,0.95,24,0.01,balanced,3,0.5698529411764706,0.01690643564802011,0.550201314070172,0.02064147752177527,0.5479672326185328,0.02101922668854614,0.5695451165660542,0.020556120474510012,0.935468008555413,0.02799343217200355,0.5597095472372259,0.01782315100315085,True
rolling_only,0.95,36,0.03,none,3,0.6009803921568627,0.035468997568903274,0.5622098717978337,0.02550030555910454,0.545900662539021,0.031519712918040094,0.5715240539952159,0.03825640452540914,0.9312079109889112,0.02949271487934383,0.5546379100872596,0.020796469961152503,True
rolling_only,0.95,72,0.03,none,3,0.5990196078431372,0.03813303318535538,0.5598229932264615,0.041307267291383364,0.5450337324602206,0.042214926006625714,0.5737716320585281,0.03575153634886835,0.9343005105408123,0.02496913869366727,0.55523951889531,0.01851106033761743,True
