date,round_num,local_team,away_team,Target,league,prediccion,p_away_win,p_draw,p_home_win,resultado_esperado,confianza
2026-04-21,34,Brighton,Chelsea,1.0,premier,1,0.2625271455481,0.3223125490269605,0.41516030542493954,Gana Brighton,0.41516030542493954
2026-04-22,34,Bournemouth,Leeds United,0.0,premier,0,0.2137101307173356,0.40057333781612964,0.3857165314665347,Empate,0.40057333781612964
2026-04-22,34,Burnley,Manchester City,-1.0,premier,-1,0.7467692563894849,0.1415486143997649,0.11168212921075017,Gana Manchester City,0.7467692563894849
2026-04-24,34,Sunderland,Nottingham Forest,-1.0,premier,0,0.19350429109134068,0.50903841926647,0.29745728964218937,Empate,0.50903841926647
2026-04-25,34,Arsenal,Newcastle United,1.0,premier,1,0.09017352298019989,0.30079437750972604,0.6090320995100742,Gana Arsenal,0.6090320995100742
2026-04-25,34,Fulham,Aston Villa,1.0,premier,-1,0.3957311066497104,0.3427930185160756,0.26147587483421414,Gana Aston Villa,0.3957311066497104
2026-04-25,34,Liverpool,Crystal Palace,1.0,premier,1,0.12822944375103584,0.2515377799604559,0.6202327762885083,Gana Liverpool,0.6202327762885083
2026-04-25,34,West Ham United,Everton,1.0,premier,0,0.37954120548603726,0.43763990715009665,0.18281888736386603,Empate,0.43763990715009665
2026-04-25,34,Wolves,Tottenham Hotspur,-1.0,premier,-1,0.47731380900058445,0.1986309255044347,0.3240552654949807,Gana Tottenham Hotspur,0.47731380900058445
2026-04-27,34,Manchester Utd,Brentford,,premier,1,0.172752341318689,0.3365847267872697,0.4906629318940412,Gana Manchester Utd,0.4906629318940412
2026-05-01,35,Leeds United,Burnley,,premier,1,0.08240554467247813,0.43616895668825945,0.4814254986392625,Gana Leeds United,0.4814254986392625
2026-05-02,35,Arsenal,Fulham,,premier,1,0.21033760097717982,0.269420522968921,0.5202418760538993,Gana Arsenal,0.5202418760538993
2026-05-02,35,Brentford,West Ham United,,premier,-1,0.3514849656647404,0.3137784564423939,0.33473657789286576,Gana West Ham United,0.3514849656647404
2026-05-02,35,Newcastle United,Brighton,,premier,-1,0.45520842322574123,0.28881462645487455,0.2559769503193842,Gana Brighton,0.45520842322574123
2026-05-02,35,Wolves,Sunderland,,premier,-1,0.500061434636787,0.16562556049173122,0.3343130048714818,Gana Sunderland,0.500061434636787
2026-05-03,35,Aston Villa,Tottenham Hotspur,,premier,1,0.1979539365969805,0.36505854722011466,0.43698751618290493,Gana Aston Villa,0.43698751618290493
2026-05-03,35,Bournemouth,Crystal Palace,,premier,1,0.18298404211256475,0.394174804728301,0.42284115315913423,Gana Bournemouth,0.42284115315913423
