feature_set,corr_threshold,k,C,class_weight,folds,accuracy,accuracy_std,balanced_accuracy,balanced_accuracy_std,macro_f1,macro_f1_std,weighted_f1,weighted_f1_std,log_loss,log_loss_std,brier_multiclass,brier_multiclass_std,within_logloss_tolerance
rolling_only,0.95,72,0.003,balanced,1,0.5,0.0,0.5099358974358975,0.0,0.5059865900383141,0.0,0.49712643678160917,0.0,1.0258909000887366,0.0,0.6174638656892922,0.0,True
rolling_only,0.9,48,0.003,balanced,1,0.45454545454545453,0.0,0.4572649572649572,0.0,0.4582716049382716,0.0,0.4533333333333333,0.0,1.0286807086069962,0.0,0.6176098135119807,0.0,True
rolling_only,0.95,108,0.003,balanced,1,0.45454545454545453,0.0,0.46207264957264954,0.0,0.45535714285714285,0.0,0.4496753246753247,0.0,1.031127110255688,0.0,0.6200596470974253,0.0,True
rolling_only,0.9,72,0.003,balanced,1,0.4318181818181818,0.0,0.43643162393162394,0.0,0.4390476190476191,0.0,0.43266233766233775,0.0,1.0193520113271253,0.0,0.6133424019779957,0.0,True
rolling_only,0.9,108,0.003,balanced,1,0.4090909090909091,0.0,0.4155982905982906,0.0,0.41064145346681497,0.0,0.4060445950045505,0.0,1.034221135636391,0.0,0.6225982558029118,0.0,True
rolling_only,0.9,72,0.01,none,1,0.5454545454545454,0.0,0.5412393162393162,0.0,0.499194847020934,0.0,0.4940711462450592,0.0,1.0903543028524305,0.0,0.6442745508895626,0.0,False
rolling_only,0.85,72,0.003,balanced,1,0.5,0.0,0.5051282051282051,0.0,0.497968936678614,0.0,0.49677419354838714,0.0,1.0415478211723634,0.0,0.6277458385982486,0.0,False
rolling_only,0.95,108,1.0,none,1,0.5,0.0,0.5023504273504273,0.0,0.49543859649122807,0.0,0.4895693779904306,0.0,2.6465608869503403,0.0,0.949138601354091,0.0,False
rolling_only,0.95,48,0.03,balanced,1,0.4772727272727273,0.0,0.48568376068376073,0.0,0.48345040442741594,0.0,0.47602461395564843,0.0,1.1692689817166668,0.0,0.6930470534123612,0.0,False
rolling_only,0.85,48,0.01,balanced,1,0.4772727272727273,0.0,0.4794871794871794,0.0,0.482962962962963,0.0,0.4785858585858586,0.0,1.0578979916788147,0.0,0.6373188655558265,0.0,False
