target,feature_set,corr_threshold,k,C,class_weight,folds,accuracy,accuracy_std,balanced_accuracy,balanced_accuracy_std,f1,f1_std,roc_auc,roc_auc_std,average_precision,average_precision_std,log_loss,log_loss_std,brier,brier_std
over_15,rolling_plus_table_h2h,0.95,36,0.03,balanced,3,0.5996732026143792,0.04239453530592897,0.5278831366971194,0.07906442774834344,0.7221037049936871,0.027352104176621435,0.5516025699471787,0.07338292987827709,0.8369163931515783,0.028780093808022506,0.6842356896367763,0.029775311595117912,0.24395070583749753,0.012987161396720374
over_15,rolling_plus_table_h2h,0.95,36,0.1,balanced,3,0.6083877995642702,0.03265476533087931,0.5112749963312518,0.057220794723542835,0.7336529824562793,0.023142798368590664,0.5463747124700097,0.07907492479748919,0.8348927982242959,0.036650172266787455,0.6997566362571158,0.05274200669798808,0.24791239952126262,0.0197021132563004
over_15,rolling_plus_table_h2h,0.9,36,0.03,balanced,3,0.6247276688453159,0.0396688444783303,0.5876209927067892,0.08959781874228934,0.7358196678585028,0.023757011546800644,0.553272393039712,0.07854338334390347,0.8399133028612297,0.02919905440002162,0.7002787737479151,0.04004100581336081,0.25062863420135906,0.017251365867822884
over_15,rolling_plus_table_h2h,0.95,72,0.03,balanced,3,0.5822440087145969,0.02136020866135899,0.5211999367846484,0.03176589090064988,0.7041999408459034,0.026970019175854343,0.5412540953214562,0.0636999715283041,0.8418881838806143,0.028601861090671945,0.7122686828344077,0.03728503803724001,0.2539397051846484,0.013591519233739914
over_15,rolling_plus_table_h2h,0.9,36,0.1,balanced,3,0.6154684095860566,0.033121559467343714,0.5638114688972655,0.07340096889361368,0.730900900900901,0.020352785005475292,0.551073749217406,0.07601573332598535,0.8429736032217576,0.03133870269153281,0.7129922205676772,0.0610471472850132,0.25278750364738684,0.023278705411153996
over_15,rolling_plus_table_h2h,0.95,36,0.3,balanced,3,0.6176470588235294,0.037640855213880164,0.5210323466354758,0.0556641254940794,0.740734465404069,0.02710925541197985,0.5312390643085951,0.07458584068592992,0.8320410967296814,0.03773073619044536,0.7196486595734664,0.07391832295014426,0.2532972866862908,0.024466881922312316
over_15,rolling_plus_table_h2h,0.9,36,0.3,balanced,3,0.6154684095860566,0.03500912059155522,0.5507700463434522,0.06939000854003013,0.7333117240295458,0.02308988270808501,0.5502551190975488,0.07256591601153155,0.8442120475414354,0.03190206698346598,0.7252061099661131,0.0777212806462742,0.25505105525765287,0.026856964886726568
over_15,rolling_plus_table_h2h,0.9,72,0.03,balanced,3,0.585511982570806,0.03783737349228408,0.5151109003932725,0.06736552589697627,0.7094384009110252,0.03141180814926217,0.5083569305473424,0.07004592225785769,0.8279612351023626,0.036925143338437445,0.7274288145869927,0.035360339950121604,0.2604468932338194,0.01327819589492056
over_15,rolling_plus_table_h2h,0.95,72,0.1,balanced,3,0.5781590413943355,0.028460885857927925,0.5055675965749089,0.06465512320883371,0.7041885241155695,0.02186646519976153,0.5458578314529371,0.06706659347322853,0.8463416146440824,0.03004474599034346,0.7460063682338983,0.06680169120752479,0.2622793202744248,0.01915960378690184
over_15,rolling_plus_table_h2h,0.9,72,0.1,balanced,3,0.5781590413943355,0.028460885857927925,0.4975471488400243,0.05177819704184265,0.7049003254122344,0.03200980613898976,0.5089437131551321,0.07016800519403991,0.8311766326563417,0.0325131144591334,0.7717435952474351,0.06839941006496553,0.27187097005216065,0.02084431849204572
over_15,rolling_plus_table_h2h,0.95,72,0.3,balanced,3,0.5920479302832243,0.007317553835808473,0.510178062362639,0.052956470984667964,0.7176856731684144,0.0036600474198946885,0.5462079906635787,0.06902267712256506,0.8495663574634333,0.03042168220567773,0.7885181518715748,0.10784400860666964,0.2710080682406388,0.025016628547309735
over_15,rolling_plus_table_h2h,0.95,all,0.03,balanced,3,0.5863289760348583,0.0377490668704746,0.45356276685257885,0.03315386199866908,0.7219492628583538,0.03462747946001972,0.4358008160685088,0.034052567467622315,0.7961954976775024,0.030342920946234635,0.8258627715619983,0.015041616212655552,0.2764978340099213,0.013001167435238648
over_15,rolling_plus_table_h2h,0.9,all,0.03,balanced,3,0.5795206971677559,0.035738730364003,0.4402918847292377,0.004121710925824769,0.7177925004985454,0.034650913757306764,0.4323960441778054,0.035170293652883676,0.7904443535635822,0.029846252265593325,0.8285810219039709,0.0328448116202786,0.2777705020238348,0.01621031215229656
over_15,rolling_plus_table_h2h,0.9,72,0.3,balanced,3,0.5669934640522877,0.02294379876887315,0.48154402627952475,0.05073423980658601,0.6975122831314802,0.022270545423206424,0.5043955509591279,0.0704231933713678,0.825838139131509,0.02848094826258332,0.8291251714005198,0.12070762143568042,0.28398259404052734,0.030098686747512045
over_15,rolling_plus_table_h2h,0.9,all,0.1,balanced,3,0.5977668845315904,0.03076016256719145,0.4516448148215686,0.007658142719515976,0.7335488928081522,0.029246593854075804,0.42929063344734675,0.0316497469901467,0.7940006993994962,0.028704308390227702,1.0282371170979536,0.06306031910037486,0.2996225359505675,0.016005013885822563
over_15,rolling_plus_table_h2h,0.95,all,0.1,balanced,3,0.5866013071895425,0.024263467981891357,0.4316314683936267,0.004380661773012974,0.7269637753919826,0.023593892752961216,0.42876658860265415,0.024982875158456753,0.7973253264086843,0.028276041134833008,1.0370533790111842,0.036218993984159197,0.3011616353461701,0.015956742205003583
