date,time,local_team,away_team,event_id,custom_id,h2h_all_matches,h2h_all_local_win_pct,h2h_all_draw_pct,h2h_all_away_win_pct,h2h_all_local_goals_avg,h2h_all_away_goals_avg,h2h_all_total_goals_avg,h2h_all_btts_pct,h2h_all_over25_pct,h2h_all_local_points_avg,h2h_all_away_points_avg,h2h_last10_matches,h2h_last10_local_win_pct,h2h_last10_draw_pct,h2h_last10_away_win_pct,h2h_last10_local_goals_avg,h2h_last10_away_goals_avg,h2h_last10_total_goals_avg,h2h_last10_btts_pct,h2h_last10_over25_pct,h2h_last10_local_points_avg,h2h_last10_away_points_avg,h2h_last5_matches,h2h_last5_local_win_pct,h2h_last5_draw_pct,h2h_last5_away_win_pct,h2h_last5_local_goals_avg,h2h_last5_away_goals_avg,h2h_last5_total_goals_avg,h2h_last5_btts_pct,h2h_last5_over25_pct,h2h_last5_local_points_avg,h2h_last5_away_points_avg,season_id,season_name
2025-08-23,12:00,Olympique de Marseille,Paris FC,14065703,QHsvwc,6,0.5,0.3333333333333333,0.16666666666666666,1.5,0.6666666666666666,2.1666666666666665,0.5,0.5,1.8333333333333333,0.8333333333333334,6,0.5,0.3333333333333333,0.16666666666666666,1.5,0.6666666666666666,2.1666666666666665,0.5,0.5,1.8333333333333333,0.8333333333333334,5,0.4,0.4,0.2,1.2,0.6,1.8,0.4,0.4,1.6,1.0,77356,Ligue 1 25/26
2025-08-23,14:00,Nice,Auxerre,14065698,WHslI,46,0.30434782608695654,0.2391304347826087,0.45652173913043476,0.8913043478260869,1.1956521739130435,2.0869565217391304,0.391304347826087,0.30434782608695654,1.1521739130434783,1.608695652173913,10,0.1,0.4,0.5,0.6,1.2,1.8,0.5,0.2,0.7,1.9,5,0.0,0.8,0.2,0.8,1.0,1.8,0.8,0.2,0.8,1.4,77356,Ligue 1 25/26
2025-08-23,16:05,Olympique Lyonnais,Metz,14065707,ZHsbI,74,0.5135135135135135,0.22972972972972974,0.25675675675675674,1.6081081081081081,0.918918918918919,2.527027027027027,0.4189189189189189,0.4189189189189189,1.7702702702702702,1.0,10,0.6,0.2,0.2,2.0,0.8,2.8,0.5,0.4,2.0,0.8,5,0.2,0.4,0.4,1.2,1.4,2.6,0.8,0.4,1.0,1.6,77356,Ligue 1 25/26
2025-08-24,10:00,Lorient,Stade Rennais,14065700,gIsiI,34,0.29411764705882354,0.2647058823529412,0.4411764705882353,0.9411764705882353,1.411764705882353,2.3529411764705883,0.5,0.4117647058823529,1.1470588235294117,1.588235294117647,10,0.5,0.1,0.4,1.0,1.6,2.6,0.5,0.6,1.6,1.3,5,0.8,0.0,0.2,1.4,1.6,3.0,0.6,0.8,2.4,0.6,77356,Ligue 1 25/26
2025-08-24,12:15,Le Havre,RC Lens,14065699,YHsmI,30,0.2,0.43333333333333335,0.36666666666666664,0.8,1.2,2.0,0.4,0.3,1.0333333333333334,1.5333333333333334,10,0.3,0.3,0.4,1.2,1.6,2.8,0.6,0.5,1.2,1.5,5,0.2,0.4,0.4,1.4,1.8,3.2,0.8,0.6,1.0,1.6,77356,Ligue 1 25/26
2025-08-24,12:15,Toulouse,Stade Brestois,14065701,GIspJ,30,0.3333333333333333,0.4666666666666667,0.2,1.2333333333333334,1.1,2.3333333333333335,0.4666666666666667,0.43333333333333335,1.4666666666666666,1.0666666666666667,10,0.2,0.3,0.5,1.2,2.1,3.3,0.7,0.5,0.9,1.8,5,0.0,0.2,0.8,0.8,2.6,3.4,0.6,0.6,0.2,2.6,77356,Ligue 1 25/26
2025-08-24,12:15,RC Strasbourg,Nantes,14065710,XHsjI,71,0.28169014084507044,0.22535211267605634,0.49295774647887325,1.1971830985915493,1.6901408450704225,2.887323943661972,0.5492957746478874,0.5633802816901409,1.0704225352112675,1.704225352112676,10,0.6,0.2,0.2,1.9,0.9,2.8,0.6,0.6,2.0,0.8,5,0.8,0.0,0.2,2.0,0.8,2.8,0.6,0.6,2.4,0.6,77356,Ligue 1 25/26
2025-08-24,15:45,Lille,AS Monaco,14065697,THsdI,89,0.24719101123595505,0.4044943820224719,0.34831460674157305,1.0674157303370786,1.348314606741573,2.4157303370786516,0.550561797752809,0.38202247191011235,1.146067415730337,1.449438202247191,10,0.4,0.4,0.2,1.3,1.0,2.3,0.5,0.5,1.6,1.0,5,0.4,0.4,0.2,0.8,0.4,1.2,0.2,0.2,1.6,1.0,77356,Ligue 1 25/26
2025-08-29,15:45,RC Lens,Stade Brestois,14065713,YHspJ,28,0.42857142857142855,0.17857142857142858,0.39285714285714285,1.5357142857142858,1.5,3.0357142857142856,0.6071428571428571,0.6071428571428571,1.4642857142857142,1.3571428571428572,10,0.5,0.2,0.3,1.5,1.4,2.9,0.6,0.5,1.7,1.1,5,0.6,0.2,0.2,1.8,1.0,2.8,0.6,0.4,2.0,0.8,77356,Ligue 1 25/26
2025-08-30,12:00,Lorient,Lille,14065716,THsgI,32,0.3125,0.21875,0.46875,1.0625,1.78125,2.84375,0.53125,0.53125,1.15625,1.625,10,0.5,0.0,0.5,1.3,2.0,3.3,0.6,0.8,1.5,1.5,5,0.4,0.0,0.6,1.6,2.2,3.8,0.8,1.0,1.2,1.8,77356,Ligue 1 25/26
