source_url,local_team,away_team,decimal_home_win,decimal_draw,decimal_away_win,decimal_home_or_draw,decimal_home_or_away,decimal_draw_or_away,decimal_over_15,decimal_under_15,decimal_over_25,decimal_under_25,decimal_btts_yes,decimal_btts_no
https://www.cuotasahora.com/football/h2h/brighton-2XrRecc3/chelsea-4fGZN2oK/,Brighton,Chelsea,2.42,3.69,3.1,1.44,1.33,1.67,1.3,3.95,1.92,2.01,1.75,2.12
https://www.cuotasahora.com/football/h2h/bournemouth-OtpNdwrc/leeds-tUxUbLR2/,Bournemouth,Leeds United,1.9,3.99,4.1,1.29,1.29,2.04,1.2,5.0,1.6,2.42,1.6,2.53
https://www.cuotasahora.com/football/h2h/burnley-z3dmTMMO/manchester-city-Wtn9Stg0/,Burnley,Manchester City,22.0,9.39,1.16,5.82,1.09,1.03,1.12,7.0,1.38,3.25,2.1,1.8
https://www.cuotasahora.com/football/h2h/sunderland-WSzc94ws/nottingham-UsushcZr/,Sunderland,Nottingham Forest,2.7,3.2,2.88,1.48,1.38,1.52,1.41,3.16,2.3,1.68,1.95,1.98
https://www.cuotasahora.com/football/h2h/arsenal-hA1Zm19f/newcastle-p6ahwuwJ/,Arsenal,Newcastle United,1.43,5.13,8.2,1.11,1.18,3.05,1.23,4.33,1.7,2.2,2.0,2.1
https://www.cuotasahora.com/football/h2h/fulham-69ZiU2Om/aston-villa-W00wmLO0/,Fulham,Aston Villa,2.64,3.66,2.75,1.51,1.3,1.59,1.25,4.33,1.8,2.1,1.65,2.34
https://www.cuotasahora.com/football/h2h/liverpool-lId4TMwf/crystal-palace-AovF1Mia/,Liverpool,Crystal Palace,1.63,4.57,5.25,1.19,1.22,2.44,1.17,5.5,1.5,2.63,1.65,2.4
https://www.cuotasahora.com/football/h2h/west-ham-Cxq57r8g/everton-KluSTr9s/,West Ham,Everton,2.52,3.5,2.97,1.47,1.33,1.6,1.26,4.18,1.89,2.06,1.7,2.34
https://www.cuotasahora.com/football/h2h/wolves-j3Azpf5d/tottenham-UDg08Ohm/,Wolves,Tottenham,5.0,4.55,1.67,2.43,1.25,1.2,1.22,4.56,1.67,2.32,1.7,2.2
https://www.cuotasahora.com/football/h2h/manchester-utd-ppjDR086/brentford-xYe7DwID/,Manchester United,Brentford,2.02,3.87,3.83,1.31,1.3,1.91,1.18,5.0,1.6,2.42,1.57,2.55
