league,target,market,split,rows,positive_rate,current_season_id,test_round_min,feature_set,features_pool,features_selected,corr_threshold,k,C,class_weight,accuracy,balanced_accuracy,f1,roc_auc,average_precision,log_loss,brier,monotonic_over15_adjustments_test
premier,over_15,Over 1.5 goles,train,931,0.8292158968850698,76986,20,rolling_plus_table,516,36,0.9,36,0.03,balanced,0.6680988184747583,0.6675302245250432,0.7695749440715883,0.7049483494639424,0.9141000925231484,0.6331165760961222,0.22099871398357385,73
premier,over_15,Over 1.5 goles,test,150,0.7866666666666666,76986,20,rolling_plus_table,516,36,0.9,36,0.03,balanced,0.54,0.5709745762711864,0.6387434554973822,0.550052966101695,0.8028332427861268,0.7175414221588542,0.2606136300343104,73
premier,over_25,Over 2.5 goles,train,931,0.5961331901181526,76986,20,rolling_plus_table,516,36,0.95,36,0.03,balanced,0.6015037593984962,0.6044350201265094,0.6380487804878049,0.6632954763273913,0.7467318704392447,0.6501293396765752,0.22938120149567023,73
premier,over_25,Over 2.5 goles,test,150,0.5466666666666666,76986,20,rolling_plus_table,516,36,0.95,36,0.03,balanced,0.49333333333333335,0.5039454806312769,0.45714285714285713,0.5532639885222381,0.5742937625909681,0.7066682094681705,0.2561259755885948,73
premier,btts,Ambos anotan,train,931,0.5843179377013964,76986,20,rolling_only,504,36,0.9,36,0.03,balanced,0.6326530612244898,0.6342054263565892,0.6653620352250489,0.6682127792977657,0.7340703549143982,0.6486927604683203,0.22872117718022816,73
premier,btts,Ambos anotan,test,150,0.58,76986,20,rolling_only,504,36,0.9,36,0.03,balanced,0.48,0.5101258894362343,0.417910447761194,0.5207079000182449,0.6088919518422372,0.7443724102487962,0.2733844932205655,73
