feature
diff_sh_rolling3
diff_xga_rolling3
diff_sot_allowed_rolling3
diff_gf_rolling5
diff_poss_rolling5
sh_rolling5_home
diff_sh_rolling5
diff_sot_rolling5
diff_xg_rolling5
diff_xga_rolling5
diff_passes_allowed_rolling5
diff_goalkeeper_saves_rolling5
diff_shots_inside_box_rolling5
diff_shots_inside_box_allowed_rolling5
diff_goal_kicks_rolling5
diff_sh_allowed_rolling5
diff_sot_allowed_rolling5
diff_winrate_rolling5
table_ppg_prev_home
diff_table_ppg_prev
table_gd_prev_home
diff_table_gd_prev
table_rank_pct_prev_home
diff_table_rank_pct_prev
