target,feature_set,corr_threshold,k,C,class_weight,folds,accuracy,accuracy_std,balanced_accuracy,balanced_accuracy_std,f1,f1_std,roc_auc,roc_auc_std,average_precision,average_precision_std,log_loss,log_loss_std,brier,brier_std
over_15,rolling_plus_table,0.95,72,0.03,balanced,1,0.72,0.0,0.6162280701754386,0.0,0.8157894736842105,0.0,0.6732456140350878,0.0,0.8752529915981948,0.0,0.5761527371172717,0.0,0.19658616644204877,0.0
over_15,rolling_plus_table,0.9,72,0.03,balanced,1,0.74,0.0,0.6578947368421053,0.0,0.8266666666666667,0.0,0.668859649122807,0.0,0.8723871028212377,0.0,0.581131104450799,0.0,0.1977740533654028,0.0
over_15,rolling_plus_table,0.9,all,0.03,balanced,1,0.72,0.0,0.5307017543859649,0.0,0.8292682926829268,0.0,0.6491228070175439,0.0,0.8757988092770936,0.0,0.5950008861060389,0.0,0.19941871367594868,0.0
over_15,rolling_plus_table,0.95,all,0.03,balanced,1,0.72,0.0,0.5307017543859649,0.0,0.8292682926829268,0.0,0.6600877192982456,0.0,0.8747864209245177,0.0,0.5957031428170222,0.0,0.19660498540471505,0.0
over_15,rolling_plus_table,0.9,36,0.03,balanced,1,0.66,0.0,0.6052631578947368,0.0,0.7605633802816901,0.0,0.6513157894736842,0.0,0.8734261371778811,0.0,0.6180914840617501,0.0,0.215401461076973,0.0
over_15,rolling_plus_table,0.95,36,0.03,balanced,1,0.66,0.0,0.6052631578947368,0.0,0.7605633802816901,0.0,0.6425438596491229,0.0,0.8611494904617334,0.0,0.6218403410150468,0.0,0.2148930490710472,0.0
over_15,rolling_plus_table,0.95,72,0.1,balanced,1,0.68,0.0,0.5328947368421053,0.0,0.7948717948717948,0.0,0.6732456140350878,0.0,0.8728271554349085,0.0,0.6253519954449492,0.0,0.2073219271906386,0.0
over_15,rolling_plus_table,0.9,72,0.1,balanced,1,0.7,0.0,0.5460526315789473,0.0,0.810126582278481,0.0,0.6644736842105262,0.0,0.8681933554703427,0.0,0.631002547134791,0.0,0.207342782706915,0.0
over_15,rolling_plus_table,0.95,72,0.3,balanced,1,0.72,0.0,0.5592105263157895,0.0,0.825,0.0,0.6600877192982456,0.0,0.8644970395583529,0.0,0.7168949439162918,0.0,0.22027658186886334,0.0
over_15,rolling_plus_table,0.9,36,0.1,balanced,1,0.64,0.0,0.5350877192982456,0.0,0.7567567567567568,0.0,0.6162280701754386,0.0,0.8591436065535636,0.0,0.7195052405357123,0.0,0.24421407120192842,0.0
