feature_set,corr_threshold,k,C,class_weight,folds,accuracy,accuracy_std,balanced_accuracy,balanced_accuracy_std,macro_f1,macro_f1_std,weighted_f1,weighted_f1_std,log_loss,log_loss_std,brier_multiclass,brier_multiclass_std,within_logloss_tolerance
rolling_only,0.9,72,0.01,none,3,0.5593137254901961,0.011156673212491178,0.4986288971138458,0.015335863256091877,0.4764251655632891,0.02103491087284487,0.5211929384000169,0.008824202021379153,1.0279939146640724,0.05150365926186032,0.6016330998605216,0.02937203986427554,False
rolling_only,0.85,108,0.003,none,3,0.5659313725490196,0.05078085952368134,0.5004372833035707,0.0270575734920808,0.4757066560764314,0.033755650920950085,0.5227625457204235,0.04855370916737881,1.009431829128762,0.05040861686355277,0.5958514654625208,0.030470001776280786,False
rolling_only,0.9,108,0.003,balanced,3,0.4958333333333333,0.015590239111558084,0.47722134497643803,0.0171293457604475,0.4714492225860832,0.015057028915823634,0.49879870142474464,0.010944522931191256,1.0323874097982566,0.03933022048377497,0.6141652294012359,0.02106789516239443,False
rolling_only,0.9,160,0.003,balanced,3,0.49142156862745096,0.021007061114917742,0.4741270937827071,0.02800177876845267,0.4685429172450128,0.02374566257294269,0.49380630302784473,0.014078104798630928,1.0360813251240197,0.04402084252283668,0.6168426703088662,0.02368689507736687,False
rolling_only,0.95,108,0.01,balanced,3,0.4875,0.017677669529663678,0.47487833853070355,0.022012814370128905,0.46776481091868255,0.01962600614445081,0.48936664453488987,0.012736035905070945,1.060881985819834,0.042227732120190195,0.6279756237679813,0.02129298513413718,False
rolling_only,0.95,160,0.003,balanced,3,0.48946078431372547,0.02803347329104452,0.4719040650854156,0.035108370965120414,0.46523140962636483,0.030734329536667045,0.49025366404260917,0.022310185205851204,1.0359979259335828,0.041179533589105914,0.6160135440137556,0.02205372964613777,False
rolling_only,0.95,108,0.003,none,3,0.5659313725490197,0.03347181442095017,0.49669500761601776,0.007428756845106958,0.4652114224385229,0.01980926485787725,0.5160813082158521,0.031100850506219076,1.008518868450618,0.04703111166480629,0.5933012777827967,0.02762597339556929,False
rolling_only,0.9,108,0.003,none,3,0.5558823529411765,0.04084689533038574,0.4910273057526637,0.014195227118002333,0.4648362998402382,0.028801269611324787,0.5106717395871162,0.03694796468142869,1.0114844774698108,0.05169228931297226,0.5949842114104575,0.031109005956582114,False
rolling_only,0.95,108,0.01,none,3,0.5370098039215686,0.010812129902016073,0.4812733903045365,0.01825414311924861,0.4645077653327241,0.022790004396328223,0.5073565113987711,0.006137424393369495,1.0413413147109383,0.0559104538539621,0.6078282623862523,0.03190973143283458,False
rolling_only,0.9,72,0.003,balanced,3,0.4916666666666667,0.011785113019775804,0.4700723420580404,0.02020717801743428,0.4626436870622917,0.017929594183857943,0.4927595203426684,0.017123423120409664,1.0258984811272704,0.034717272812722404,0.6103457218568861,0.018091213950664636,False
rolling_only,0.9,72,0.01,balanced,3,0.4840686274509804,0.020538572220722157,0.4693465144956311,0.02451062213555422,0.46248114981145694,0.02377802694425071,0.48518053039216685,0.0207342837561886,1.0472571174672585,0.03960055239834636,0.6215557575863135,0.01997730727174628,False
rolling_only,0.95,160,0.003,none,3,0.549264705882353,0.027361109891353753,0.48679906273131723,0.00877739374926547,0.4623689786828002,0.01619200107611668,0.5088512667816222,0.028923339817523694,1.0163833830117304,0.0524632806388507,0.597443062311273,0.030983974184450962,False
rolling_only,0.9,48,0.003,balanced,3,0.4897058823529412,0.010672324047586897,0.4659617320191445,0.012404980645876857,0.4615434255973528,0.009755361767971548,0.490918160973193,0.012542356778579383,1.0300023972749415,0.041629189144142695,0.6122272626804578,0.022180096047668043,False
rolling_only,0.9,108,0.01,none,3,0.5313725490196078,0.026343193808910606,0.4756877202544075,0.028936342500982044,0.4609702431755394,0.040902583696551566,0.5031714105274553,0.03115716567191017,1.0482286854870877,0.06762045896755507,0.6107642536993301,0.03886143472011157,False
rolling_only,0.85,48,0.003,balanced,3,0.48995098039215684,0.007409910028348515,0.46896419709535203,0.014879205994340113,0.46076422862104244,0.014796847073971362,0.4876384068733781,0.016667008290224026,1.03086003993636,0.03900282585301966,0.613541138924714,0.020515716133611493,False
rolling_only,0.9,72,0.03,none,3,0.5247549019607843,0.01050781917167943,0.47652186589556145,0.02897690981767374,0.4606481907316155,0.03299428590050545,0.49795488809437455,0.013422307059948235,1.0584678699574877,0.05418559906809049,0.6158231732098266,0.030851621814730973,False
rolling_only,0.85,72,0.01,none,3,0.5272058823529412,0.034618742381925305,0.4735301078063521,0.01236658623410789,0.4595270053548948,0.016437484101212405,0.49701672614143266,0.029461198966006005,1.0322877634297651,0.053813480985648574,0.6042191914408237,0.031096032324983355,False
rolling_only,0.9,36,0.1,none,3,0.525,0.035355339059327355,0.4738189203717469,0.02278248395880581,0.45815765216230847,0.03432941247098463,0.49790926551552445,0.04084482203106705,1.0865014839331033,0.07423951170857758,0.6296965150167659,0.038559849109597547,False
rolling_only,0.85,48,0.3,none,3,0.5129901960784314,0.03002025780216199,0.4674814806260113,0.01706485793561366,0.45714237749347086,0.01615543228510747,0.49143181075049486,0.025592601930284543,1.1254344680020125,0.07263385383714512,0.6452164875282679,0.04147129531378312,False
rolling_only,0.85,72,0.01,balanced,3,0.47941176470588226,0.0062391774810577755,0.4637445555155817,0.009588010491428978,0.45678832425365207,0.010183083920418907,0.4819886231997072,0.007175342869056268,1.0534285206464784,0.0397401948329838,0.6250796812819339,0.019249655036818657,False
rolling_only,0.95,36,0.1,balanced,3,0.46936274509803927,0.02553022874509762,0.46539799466902093,0.028938126504919424,0.45619790220456863,0.02588056635749873,0.4751997657275613,0.01990041367748189,1.0873225552074195,0.05779334691248428,0.6440901485221818,0.029375041836554018,False
rolling_only,0.95,48,0.3,none,3,0.504656862745098,0.050066036745192936,0.4646336359520209,0.03691152768972908,0.45497058741024166,0.048074944748528005,0.4850930870691075,0.056965074100805736,1.1297462752081064,0.08448191959227838,0.6510644373530077,0.04100597682735416,False
rolling_only,0.85,24,0.1,balanced,3,0.470343137254902,0.03349334432096,0.4574926219585507,0.030279283740522505,0.4549588862580989,0.029487056958820708,0.4738900232146526,0.03561496338481876,1.0721979683803164,0.045492713340236815,0.6353669890904329,0.023179642593464337,False
rolling_only,0.95,72,0.01,none,3,0.5367647058823529,0.01025904389041979,0.4764268037161003,0.015174530562602713,0.4545962059970663,0.016265013427377562,0.5007389210900297,0.002498673057890489,1.0371879097167869,0.058465181793179555,0.6072664522982119,0.030837275053184215,False
rolling_only,0.95,72,1.0,none,3,0.49632352941176466,0.014936910769796653,0.46382864628998915,0.02447060410725438,0.45452203386598095,0.017028089018383735,0.48337384953844037,0.014080842552249374,1.181182143567422,0.08042811236629635,0.6693740535384078,0.03831212750465702,False
rolling_only,0.9,48,0.03,none,3,0.5208333333333334,0.015590239111558084,0.46867512594465294,0.0065994240578326055,0.45439339139801355,0.00454980869835202,0.4933935067973134,0.01455267591637715,1.0640227291007418,0.07505973551888907,0.6165775897733551,0.03902905513357885,False
rolling_only,0.9,72,0.3,balanced,3,0.47132352941176475,0.006267996006149204,0.46037088054167746,0.011040276905093193,0.45429577027277074,0.007847267462266112,0.4793766703510576,0.009921030423165859,1.1657988547548197,0.050136884083044814,0.679763339432187,0.025944831689400923,False
rolling_only,0.85,24,1.0,balanced,3,0.4703431372549019,0.03647104943836571,0.45891489557119974,0.029707148886459218,0.4541840105001311,0.02858460847760654,0.47400731156826437,0.039770912469433845,1.0963703669705271,0.055214540180729035,0.6478747052355113,0.029000395682177594,False
rolling_only,0.85,36,1.0,balanced,3,0.46789215686274505,0.03174752924600088,0.4591898203559284,0.038772149701690836,0.4541665713035908,0.03199129862690622,0.4762001036640129,0.031195558414109682,1.1426507040998268,0.06859192315925416,0.6645634338419223,0.032092468700683836,False
