date,time,local_team,away_team,event_id,custom_id,h2h_all_matches,h2h_all_local_win_pct,h2h_all_draw_pct,h2h_all_away_win_pct,h2h_all_local_goals_avg,h2h_all_away_goals_avg,h2h_all_total_goals_avg,h2h_all_btts_pct,h2h_all_over25_pct,h2h_all_local_points_avg,h2h_all_away_points_avg,h2h_last10_matches,h2h_last10_local_win_pct,h2h_last10_draw_pct,h2h_last10_away_win_pct,h2h_last10_local_goals_avg,h2h_last10_away_goals_avg,h2h_last10_total_goals_avg,h2h_last10_btts_pct,h2h_last10_over25_pct,h2h_last10_local_points_avg,h2h_last10_away_points_avg,h2h_last5_matches,h2h_last5_local_win_pct,h2h_last5_draw_pct,h2h_last5_away_win_pct,h2h_last5_local_goals_avg,h2h_last5_away_goals_avg,h2h_last5_total_goals_avg,h2h_last5_btts_pct,h2h_last5_over25_pct,h2h_last5_local_points_avg,h2h_last5_away_points_avg,season_id,season_name
2025-08-30,13:30,Bologna,Como,13981433,Kdbseeb,12,0.25,0.3333333333333333,0.4166666666666667,1.0,1.3333333333333333,2.3333333333333335,0.5,0.4166666666666667,1.0833333333333333,1.5833333333333333,10,0.3,0.4,0.3,1.1,1.3,2.4,0.5,0.4,1.3,1.3,5,0.4,0.4,0.2,1.2,1.4,2.6,0.4,0.4,1.6,1.0,76457,Serie A 25/26
2025-08-30,15:45,Napoli,Cagliari,13981436,oebsueb,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76457,Serie A 25/26
2025-08-30,15:45,Pisa,Roma,13981441,cebsMeb,14,0.14285714285714285,0.2857142857142857,0.5714285714285714,0.7857142857142857,1.4285714285714286,2.2142857142857144,0.5,0.35714285714285715,0.7142857142857143,2.0,10,0.2,0.4,0.4,0.8,1.1,1.9,0.4,0.2,1.0,1.6,5,0.4,0.2,0.4,1.0,0.8,1.8,0.4,0.2,1.4,1.4,76457,Serie A 25/26
2025-08-31,13:30,Genoa,Juventus,13981448,Mdbsneb,58,0.1896551724137931,0.2413793103448276,0.5689655172413793,0.9482758620689655,1.793103448275862,2.7413793103448274,0.5,0.5172413793103449,0.8103448275862069,1.9482758620689655,10,0.1,0.2,0.7,0.7,1.9,2.6,0.6,0.6,0.5,2.3,5,0.2,0.4,0.4,0.6,1.2,1.8,0.4,0.4,1.0,1.6,76457,Serie A 25/26
2025-08-31,13:30,Torino,Fiorentina,13981429,TdbsWdb,94,0.26595744680851063,0.43617021276595747,0.2978723404255319,0.9468085106382979,1.0638297872340425,2.0106382978723403,0.44680851063829785,0.2765957446808511,1.2340425531914894,1.3297872340425532,10,0.2,0.4,0.4,0.9,0.8,1.7,0.4,0.2,1.0,1.6,5,0.0,0.6,0.4,0.4,0.8,1.2,0.4,0.0,0.6,1.8,76457,Serie A 25/26
2025-08-31,15:45,Inter,Udinese,13981432,VdbsXdb,82,0.5365853658536586,0.24390243902439024,0.21951219512195122,1.5853658536585367,0.9634146341463414,2.548780487804878,0.5121951219512195,0.5,1.853658536585366,0.9024390243902439,10,0.8,0.1,0.1,2.4,1.0,3.4,0.7,0.8,2.5,0.4,5,1.0,0.0,0.0,2.8,1.0,3.8,0.8,1.0,3.0,0.0,76457,Serie A 25/26
2025-08-31,15:45,Lazio,Hellas Verona,13981446,Zdbsbeb,54,0.42592592592592593,0.35185185185185186,0.2222222222222222,1.6296296296296295,1.1666666666666667,2.7962962962962963,0.5370370370370371,0.4074074074074074,1.6296296296296295,1.0185185185185186,10,0.5,0.3,0.2,1.6,1.2,2.8,0.6,0.5,1.8,0.9,5,0.6,0.4,0.0,1.6,0.6,2.2,0.6,0.4,2.2,0.4,76457,Serie A 25/26
2025-09-13,10:00,Cagliari,Parma,13981427,Pdbsueb,46,0.34782608695652173,0.2608695652173913,0.391304347826087,1.173913043478261,1.326086956521739,2.5,0.5,0.45652173913043476,1.3043478260869565,1.434782608695652,10,0.6,0.3,0.1,2.0,1.2,3.2,0.6,0.7,2.1,0.6,5,0.6,0.4,0.0,2.2,1.6,3.8,0.8,0.8,2.2,0.4,76457,Serie A 25/26
2025-09-13,13:00,Juventus,Inter,13981435,MdbsXdb,118,0.4745762711864407,0.3135593220338983,0.211864406779661,1.2203389830508475,0.864406779661017,2.0847457627118646,0.423728813559322,0.3474576271186441,1.7372881355932204,0.9491525423728814,10,0.4,0.3,0.3,1.3,1.2,2.5,0.4,0.2,1.5,1.2,5,0.4,0.4,0.2,1.4,1.2,2.6,0.4,0.2,1.6,1.0,76457,Serie A 25/26
2025-09-13,15:45,Fiorentina,SSC Napoli,13981442,Tdbsoeb,102,0.3431372549019608,0.28431372549019607,0.37254901960784315,1.1372549019607843,1.1372549019607843,2.2745098039215685,0.4117647058823529,0.45098039215686275,1.3137254901960784,1.4019607843137254,10,0.2,0.2,0.6,1.0,2.1,3.1,0.5,0.7,0.8,2.0,5,0.2,0.2,0.6,1.2,1.8,3.0,0.6,0.8,0.8,2.0,76457,Serie A 25/26
2025-09-14,07:30,Roma,Torino,13981434,Wdbsceb,98,0.4897959183673469,0.25510204081632654,0.25510204081632654,1.3061224489795917,0.9795918367346939,2.2857142857142856,0.4489795918367347,0.3469387755102041,1.7244897959183674,1.0204081632653061,10,0.7,0.2,0.1,1.7,0.8,2.5,0.5,0.4,2.3,0.5,5,0.8,0.2,0.0,1.6,0.6,2.2,0.4,0.2,2.6,0.2,76457,Serie A 25/26
2025-09-14,10:00,Atalanta,Lecce,13981450,LdbsOdb,30,0.43333333333333335,0.3,0.26666666666666666,1.5333333333333334,1.1,2.6333333333333333,0.5666666666666667,0.5,1.6,1.1,10,0.6,0.2,0.2,2.2,0.9,3.1,0.6,0.6,2.0,0.8,5,0.6,0.2,0.2,1.8,0.6,2.4,0.4,0.4,2.0,0.8,76457,Serie A 25/26
2025-09-14,10:00,Pisa,Udinese,13981445,VdbsMeb,6,0.0,0.8333333333333334,0.16666666666666666,0.6666666666666666,0.8333333333333334,1.5,0.6666666666666666,0.16666666666666666,0.8333333333333334,1.3333333333333333,6,0.0,0.8333333333333334,0.16666666666666666,0.6666666666666666,0.8333333333333334,1.5,0.6666666666666666,0.16666666666666666,0.8333333333333334,1.3333333333333333,5,0.0,0.8,0.2,0.6,0.8,1.4,0.6,0.2,0.8,1.4,76457,Serie A 25/26
2025-09-14,13:00,Sassuolo,Lazio,13981449,ZdbsTfb,22,0.22727272727272727,0.18181818181818182,0.5909090909090909,1.1818181818181819,1.9545454545454546,3.1363636363636362,0.6818181818181818,0.6818181818181818,0.8636363636363636,1.9545454545454546,10,0.3,0.1,0.6,1.0,1.5,2.5,0.6,0.5,1.0,1.9,5,0.0,0.2,0.8,0.4,1.8,2.2,0.4,0.2,0.2,2.6,76457,Serie A 25/26
2025-09-14,15:45,Milan,Bologna,13981437,KdbsRdb,88,0.5340909090909091,0.3181818181818182,0.14772727272727273,1.6931818181818181,0.875,2.5681818181818183,0.5,0.4659090909090909,1.9204545454545454,0.7613636363636364,10,0.6,0.3,0.1,1.9,0.9,2.8,0.6,0.5,2.1,0.6,5,0.4,0.4,0.2,1.8,1.2,3.0,0.8,0.6,1.6,1.0,76457,Serie A 25/26
2025-09-15,13:30,Hellas Verona,Cremonese,13981451,bebslfb,8,0.375,0.5,0.125,1.5,1.0,2.5,0.5,0.375,1.625,0.875,8,0.375,0.5,0.125,1.5,1.0,2.5,0.5,0.375,1.625,0.875,5,0.2,0.6,0.2,1.2,1.4,2.6,0.6,0.4,1.2,1.2,76457,Serie A 25/26
2025-09-15,15:45,Como,Genoa,13981430,eebsneb,4,0.25,0.5,0.25,0.75,0.75,1.5,0.5,0.0,1.25,1.25,4,0.25,0.5,0.25,0.75,0.75,1.5,0.5,0.0,1.25,1.25,4,0.25,0.5,0.25,0.75,0.75,1.5,0.5,0.0,1.25,1.25,76457,Serie A 25/26
2025-09-19,15:45,Lecce,Cagliari,13981455,Odbsueb,22,0.3181818181818182,0.3181818181818182,0.36363636363636365,1.2272727272727273,1.3181818181818181,2.5454545454545454,0.5,0.45454545454545453,1.2727272727272727,1.4090909090909092,10,0.2,0.5,0.3,1.3,1.7,3.0,0.7,0.5,1.1,1.4,5,0.2,0.6,0.2,0.8,1.2,2.0,0.6,0.2,1.2,1.2,76457,Serie A 25/26
2025-09-20,10:00,Bologna,Genoa,13981460,Kdbsneb,42,0.2857142857142857,0.40476190476190477,0.30952380952380953,0.8809523809523809,1.0,1.880952380952381,0.35714285714285715,0.21428571428571427,1.2619047619047619,1.3333333333333333,10,0.1,0.4,0.5,0.7,1.7,2.4,0.4,0.4,0.7,1.9,5,0.2,0.4,0.4,1.0,1.6,2.6,0.6,0.4,1.0,1.6,76457,Serie A 25/26
