source_url,date,time,local_team,away_team,decimal_home_win,decimal_draw,decimal_away_win,decimal_home_or_draw,decimal_draw_or_away,decimal_home_or_away,decimal_btts_yes,decimal_btts_no,decimal_over_15,decimal_under_15,decimal_over_25,decimal_under_25,season_id,season_name
https://www.sofascore.com/1-fc-heidenheim-borussia-dortmund/ydbsKrc,2025-09-13,10:30,1. FC Heidenheim,Borussia Dortmund,5.0,4.5,1.57,2.3,1.1667,1.2,1.5714,2.25,1.1429,5.5,1.5,2.625,77333,Bundesliga 25/26
https://www.sofascore.com/rb-leipzig-1-fsv-mainz-05/gbbskCo,2025-09-13,10:30,1. FSV Mainz 05,RB Leipzig,2.35,3.8,2.8,1.4,1.5714,1.25,1.5,2.5,1.1667,5.0,1.5714,2.375,77333,Bundesliga 25/26
https://www.sofascore.com/vfb-stuttgart-sc-freiburg/NabsCdb,2025-09-13,10:30,SC Freiburg,VfB Stuttgart,2.63,3.5,2.63,1.4444,1.4444,1.2857,1.5333,2.375,1.2,4.5,1.6667,2.2,77333,Bundesliga 25/26
https://www.sofascore.com/tsg-hoffenheim-1-fc-union-berlin/Xabsubb,2025-09-13,10:30,1. FC Union Berlin,TSG Hoffenheim,2.88,3.4,2.45,1.5,1.4,1.2857,1.6154,2.2,1.25,4.0,1.8,2.0,77333,Bundesliga 25/26
https://www.sofascore.com/1-fc-koln-vfl-wolfsburg/zabswdb,2025-09-13,10:30,VfL Wolfsburg,1. FC Köln,1.9,3.6,3.9,1.25,1.8333,1.2857,1.6667,2.1,1.2222,4.3333,1.7273,2.1,77333,Bundesliga 25/26
https://www.sofascore.com/hamburger-sv-fc-bayern-munchen/xdbsBdb,2025-09-13,13:30,FC Bayern München,Hamburger SV,1.06,12.0,23.0,1.0125,10.0,1.05,1.95,1.8,1.04,13.0,1.1667,5.0,77333,Bundesliga 25/26
https://www.sofascore.com/fc-augsburg-fc-st-pauli/Babsacb,2025-09-14,10:30,FC St. Pauli,FC Augsburg,2.1,3.4,3.4,1.3333,1.6667,1.3,1.9091,1.9091,1.3636,3.2,2.1,1.7273,77333,Bundesliga 25/26
https://www.sofascore.com/sv-werder-bremen-borussia-mgladbach/CabsJab,2025-09-14,12:30,Borussia M'gladbach,SV Werder Bremen,2.1,3.9,3.0,1.3636,1.7,1.2222,1.4,2.75,1.125,6.0,1.4444,2.75,77333,Bundesliga 25/26
https://www.sofascore.com/vfb-stuttgart-fc-st-pauli/BabsCdb,2025-09-19,15:30,VfB Stuttgart,FC St. Pauli,1.83,3.9,4.0,1.25,1.9091,1.2222,1.5714,2.25,1.2,4.5,1.6154,2.3,77333,Bundesliga 25/26
https://www.sofascore.com/fc-bayern-munchen-tsg-hoffenheim/ubbsxdb,2025-09-20,10:30,TSG Hoffenheim,FC Bayern München,7.5,5.25,1.36,3.0,1.1,1.1429,1.5,2.5,1.1,7.0,1.3333,3.4,77333,Bundesliga 25/26
https://www.sofascore.com/sc-freiburg-sv-werder-bremen/JabsNab,2025-09-20,10:30,SV Werder Bremen,SC Freiburg,2.4,3.6,2.75,1.4,1.5333,1.2857,1.5,2.5,1.2,4.5,1.6154,2.3,77333,Bundesliga 25/26
https://www.sofascore.com/fc-augsburg-1-fsv-mainz-05/gbbsacb,2025-09-20,10:30,FC Augsburg,1. FSV Mainz 05,2.63,3.5,2.63,1.4444,1.4444,1.3,1.6667,2.1,1.2857,3.75,1.9091,1.9091,77333,Bundesliga 25/26
https://www.sofascore.com/1-fc-heidenheim-hamburger-sv/BdbsKrc,2025-09-20,10:30,Hamburger SV,1. FC Heidenheim,1.75,3.9,4.5,1.2,2.0,1.25,1.6154,2.2,1.2,4.5,1.6154,2.3,77333,Bundesliga 25/26
https://www.sofascore.com/rb-leipzig-1-fc-koln/wdbskCo,2025-09-20,13:30,RB Leipzig,1. FC Köln,1.9,4.0,3.75,1.25,1.9091,1.2222,1.4,2.75,1.125,6.0,1.4,3.0,77333,Bundesliga 25/26
https://www.sofascore.com/eintracht-frankfurt-1-fc-union-berlin/Xabszdb,2025-09-21,10:30,Eintracht Frankfurt,1. FC Union Berlin,1.62,4.2,4.75,1.1818,2.25,1.2,1.6154,2.2,1.1667,5.0,1.5714,2.375,77333,Bundesliga 25/26
https://www.sofascore.com/bayer-04-leverkusen-borussia-mgladbach/CabsGdb,2025-09-21,12:30,Bayer 04 Leverkusen,Borussia M'gladbach,1.5,4.5,6.25,1.125,2.5,1.1818,1.7,2.05,1.1667,5.0,1.5714,2.375,77333,Bundesliga 25/26
https://www.sofascore.com/borussia-dortmund-vfl-wolfsburg/zabsydb,2025-09-21,14:30,Borussia Dortmund,VfL Wolfsburg,1.53,4.5,5.25,1.1667,2.375,1.1818,1.5,2.5,1.1429,5.5,1.4444,2.75,77333,Bundesliga 25/26
https://www.sofascore.com/fc-bayern-munchen-sv-werder-bremen/Jabsxdb,2025-09-26,15:30,FC Bayern München,SV Werder Bremen,1.09,11.0,21.0,1.0152,8.0,1.05,1.6667,2.1,1.04,13.0,1.1667,5.0,77333,Bundesliga 25/26
https://www.sofascore.com/borussia-dortmund-1-fsv-mainz-05/gbbsydb,2025-09-27,10:30,1. FSV Mainz 05,Borussia Dortmund,3.4,3.8,2.0,1.8,1.2857,1.25,1.5,2.5,1.1667,5.0,1.5333,2.5,77333,Bundesliga 25/26
https://www.sofascore.com/bayer-04-leverkusen-fc-st-pauli/BabsGdb,2025-09-27,10:30,FC St. Pauli,Bayer 04 Leverkusen,3.0,3.4,2.38,1.5714,1.3636,1.3,1.7,2.05,1.25,4.0,1.8,2.0,77333,Bundesliga 25/26
https://www.sofascore.com/rb-leipzig-vfl-wolfsburg/zabskCo,2025-09-27,10:30,VfL Wolfsburg,RB Leipzig,2.63,3.6,2.5,1.5,1.4444,1.2857,1.4444,2.625,1.1429,5.5,1.5,2.625,77333,Bundesliga 25/26
https://www.sofascore.com/1-fc-heidenheim-fc-augsburg/acbsKrc,2025-09-27,10:30,1. FC Heidenheim,FC Augsburg,2.9,3.5,2.35,1.5714,1.4,1.2857,1.6154,2.2,1.2222,4.3333,1.7273,2.1,77333,Bundesliga 25/26
https://www.sofascore.com/eintracht-frankfurt-borussia-mgladbach/Cabszdb,2025-09-27,13:30,Borussia M'gladbach,Eintracht Frankfurt,3.0,3.6,2.2,1.5333,1.4444,1.2857,1.5,2.5,1.1667,5.0,1.5714,2.375,77333,Bundesliga 25/26
https://www.sofascore.com/tsg-hoffenheim-sc-freiburg/Nabsubb,2025-09-28,10:30,SC Freiburg,TSG Hoffenheim,2.3,3.4,3.1,1.3636,1.6154,1.2857,1.5333,2.375,1.2222,4.3333,1.7273,2.1,77333,Bundesliga 25/26
https://www.sofascore.com/vfb-stuttgart-1-fc-koln/wdbsCdb,2025-09-28,12:30,1. FC Köln,VfB Stuttgart,2.5,3.7,2.63,1.4444,1.5,1.2857,1.4444,2.625,1.1667,5.0,1.5333,2.5,77333,Bundesliga 25/26
https://www.sofascore.com/hamburger-sv-1-fc-union-berlin/XabsBdb,2025-09-28,14:30,1. FC Union Berlin,Hamburger SV,1.95,3.6,3.8,1.2857,1.8,1.2857,1.75,2.0,1.2857,3.75,1.9091,1.9091,77333,Bundesliga 25/26
https://www.sofascore.com/1-fc-koln-tsg-hoffenheim/ubbswdb,2025-10-03,15:30,TSG Hoffenheim,1. FC Köln,1.9,3.75,3.7,1.2857,1.8,1.25,1.5,2.5,1.1667,5.0,1.5714,2.375,77333,Bundesliga 25/26
https://www.sofascore.com/rb-leipzig-borussia-dortmund/ydbskCo,2025-10-04,10:30,Borussia Dortmund,RB Leipzig,1.67,4.75,4.2,1.2222,2.15,1.1818,1.3636,3.0,1.1,7.0,1.3333,3.4,77333,Bundesliga 25/26
https://www.sofascore.com/bayer-04-leverkusen-1-fc-union-berlin/XabsGdb,2025-10-04,10:30,Bayer 04 Leverkusen,1. FC Union Berlin,1.73,4.0,4.5,1.1818,2.1,1.2222,1.7,2.05,1.2222,4.3333,1.7273,2.1,77333,Bundesliga 25/26
https://www.sofascore.com/fc-augsburg-vfl-wolfsburg/zabsacb,2025-10-04,10:30,FC Augsburg,VfL Wolfsburg,2.45,3.6,2.7,1.4444,1.5,1.2857,1.5714,2.25,1.2222,4.3333,1.7273,2.1,77333,Bundesliga 25/26
https://www.sofascore.com/sv-werder-bremen-fc-st-pauli/BabsJab,2025-10-04,10:30,SV Werder Bremen,FC St. Pauli,2.3,3.4,3.0,1.4,1.5714,1.2857,1.5,2.5,1.2,4.5,1.6154,2.3,77333,Bundesliga 25/26
https://www.sofascore.com/eintracht-frankfurt-fc-bayern-munchen/xdbszdb,2025-10-04,13:30,Eintracht Frankfurt,FC Bayern München,7.5,5.75,1.33,3.0,1.1,1.1429,1.4,2.75,1.0714,9.0,1.25,4.0,77333,Bundesliga 25/26
https://www.sofascore.com/hamburger-sv-1-fsv-mainz-05/gbbsBdb,2025-10-05,12:30,Hamburger SV,1. FSV Mainz 05,3.25,3.75,2.05,1.6667,1.3636,1.25,1.5,2.5,1.1667,5.0,1.5333,2.5,77333,Bundesliga 25/26
https://www.sofascore.com/sc-freiburg-borussia-mgladbach/CabsNab,2025-10-05,14:30,Borussia M'gladbach,SC Freiburg,2.63,3.25,2.7,1.4444,1.4444,1.3333,1.6667,2.1,1.2857,3.75,1.9091,1.9091,77333,Bundesliga 25/26
https://www.sofascore.com/1-fc-union-berlin-borussia-mgladbach/CabsXab,2025-10-17,15:30,1. FC Union Berlin,Borussia M'gladbach,2.25,3.3,3.2,1.3636,1.5714,1.3333,1.6667,2.1,1.2857,3.75,1.9091,1.9091,77333,Bundesliga 25/26
https://www.sofascore.com/bayer-04-leverkusen-1-fsv-mainz-05/gbbsGdb,2025-10-18,10:30,1. FSV Mainz 05,Bayer 04 Leverkusen,2.5,3.4,2.75,1.4444,1.5,1.3,1.5714,2.25,1.2,4.5,1.6667,2.2,77333,Bundesliga 25/26
https://www.sofascore.com/rb-leipzig-hamburger-sv/BdbskCo,2025-10-18,10:30,RB Leipzig,Hamburger SV,1.45,5.0,6.0,1.125,2.625,1.1667,1.5,2.5,1.1,7.0,1.3636,3.2,77333,Bundesliga 25/26
https://www.sofascore.com/vfb-stuttgart-vfl-wolfsburg/zabsCdb,2025-10-18,10:30,VfL Wolfsburg,VfB Stuttgart,2.88,3.5,2.35,1.5714,1.4,1.2857,1.5714,2.25,1.2222,4.3333,1.7273,2.1,77333,Bundesliga 25/26
